Track	Artist	URI	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	chorusHit	sections
Teach Me How To Fly	Rotary Connection	spotify:track:52E9u5iyQkR4yvVJHVuZl7	0.343	0.545	1	-12.581	1	0.0566	0.399	2.95e-05	0.27	0.561	147.31	198333	4	33.14334	11	0
She's Just My Style	The Astronauts	spotify:track:5yUznDHghxTElczQV9GkUY	0.624	0.519	9	-12.502	1	0.0316	0.66	0	0.0622	0.737	149.301	159653	4	26.45451	8	0
Train Of Life	Banchee	spotify:track:2Js8gn781loeKVwl1u7FrH	0.284	0.645	9	-8.05	0	0.0325	0.0478	0.000209	0.129	0.721	167.591	196415	4	41.02978	10	0
I Know A Place	Petula Clark	spotify:track:4rbYdWpcjXi02Tm3hvmYlh	0.45	0.805	11	-8.229	1	0.0684	0.792	2.98e-06	0.417	0.494	138.006	163373	4	23.81117	10	1
West Of The Wall	Toni Fisher	spotify:track:1JwNYwuXPcFyOcv0s7b5Cd	0.636	0.445	2	-8.202	1	0.029	0.766	5.28e-06	0.0727	0.683	105.947	154944	4	18.97258	6	1
Smile	Timi Yuro	spotify:track:7meARjzII6d3jq8wW2zwfi	0.249	0.238	2	-7.982	1	0.0324	0.945	9.79e-05	0.107	0.106	177.183	166307	3	37.18142	7	1
Continental Missle	The Chantays	spotify:track:4Hyys0MEb4OrXL97x5OT1V	0.465	0.804	11	-8.746	1	0.041	0.725	0.966	0.398	0.844	88.854	110133	4	25.64504	5	0
Diddy Wah Diddy	The Astronauts	spotify:track:7zABL5Ik9Uk5dad3dxuaDz	0.498	0.808	7	-7.982	1	0.0373	0.49	0.000132	0.938	0.699	140.839	196360	4	28.79545	11	0
Zor and Zam	The Monkees	spotify:track:7bKZSvZy4adpItsV4tvRYM	0.388	0.489	9	-9.386	1	0.0334	0.278	2.86e-05	0.0954	0.619	181.305	130293	3	25.10286	8	0
Together	The Intruders	spotify:track:58T2nMKugbIsjRe7jEZkTI	0.419	0.516	5	-8.152	1	0.0297	0.722	0	0.563	0.769	172.476	177160	4	35.14448	9	1
The Last Walk	The Super Stocks	spotify:track:465G55CggO8ECSF4hfFUp3	0.648	0.495	9	-5.653	1	0.0271	0.333	0.898	0.137	0.342	100.002	158533	4	38.38341	7	0
PLASTIC RAINCOATS/HUNG UP MINDS	Ultimate Spinach	spotify:track:5lm7k0Ro1O2FZOuDGniTsS	0.542	0.876	5	-5.319	1	0.0877	0.581	0.0216	0.774	0.777	143.831	176373	4	49.36316	10	0
The Blizzard	Jim Reeves	spotify:track:7CzXqUgLulsNNJvpJaO9Ef	0.624	0.202	0	-18.466	1	0.0412	0.841	0.00349	0.106	0.481	126.72	202493	4	23.39423	13	1
Old Man Willow	Elephants Memory	spotify:track:4t5E5gutiMy7kv5Il5HlXI	0.179	0.538	11	-9.961	1	0.0434	0.619	0.000714	0.147	0.254	181.168	425093	3	28.15678	16	0
Penetration	The Pyramids	spotify:track:2ORXFszhtyXn5MwVJcmiK6	0.602	0.559	2	-9.69	0	0.0367	0.198	0.806	0.256	0.95	88.29	123167	4	24.9068	7	0
My Little Chickadee	The Foundations	spotify:track:1S5fUiFmKltr00XfSRHNwf	0.669	0.665	0	-5.686	1	0.0671	0.146	0	0.193	0.681	125.491	180227	4	43.22732	11	1
Tapioca Tundra	The Monkees	spotify:track:0J50Q2cDZtUP3hXIJTddpa	0.414	0.708	9	-9.887	1	0.0466	0.559	3.88e-05	0.34	0.718	165.222	185213	4	27.9724	10	1
People	The (St Thomas) Pepper Smelter	spotify:track:2NnRNjWtR8EQR9PtLVxHxD	0.493	0.458	7	-13.113	1	0.0329	0.174	0.00621	0.102	0.519	134.279	177813	4	43.92443	11	0
Don't Let Her Be Your Baby	The Contours	spotify:track:3Lo39qbFAMXmPJ1u5DStjG	0.496	0.714	3	-7.027	1	0.0497	0.239	0	0.127	0.877	145.042	173000	4	29.15286	10	1
Communication Breakdown - 2014 Remaster	Led Zeppelin	spotify:track:2E64SWjM9rQmAshItmdbcw	0.375	0.956	2	-7.078	1	0.175	0.144	7.6e-06	0.417	0.381	175.04	150201	4	42.45677	6	0
Mary In The Morning	Al Martino	spotify:track:0XQHM6hCq87DndVRONPzI5	0.478	0.345	0	-13.321	1	0.0296	0.0348	5.36e-05	0.162	0.668	133.624	176600	4	25.60215	11	1
Duke Of Earl	Gene Chandler	spotify:track:6Hy22YDN9HJMRlJP1LwnJy	0.422	0.28	5	-11.277	1	0.0365	0.824	0	0.297	0.496	100.839	147841	4	37.97952	9	1
Rhythm	Major Lance	spotify:track:4FcfemBds5WQvH9jglw85S	0.666	0.649	1	-9.397	1	0.0416	0.811	0	0.352	0.902	117.972	141533	4	31.35625	8	1
There She Goes Again - Mono	The Velvet Underground	spotify:track:1cbC1a0SOzS2B3ldon12Yq	0.502	0.664	7	-6.902	1	0.0344	0.182	0.604	0.0675	0.889	124.312	161253	3	29.43016	10	0
There She Goes Again - The Factory Rehearsal	The Velvet Underground	spotify:track:2C6ctNmXfHEXzUMX6OmHkD	0.705	0.294	5	-14.291	1	0.0816	0.738	0.22	0.306	0.453	117.899	129413	3	18.07147	10	0
(There's) Always Something There To Remind Me	Lou Johnson	spotify:track:1zc9G4b4zbRptS59Lg8VZu	0.574	0.469	10	-8.163	1	0.0621	0.472	0	0.0742	0.746	77.801	193973	4	29.98728	9	1
Mr. Businessman	Ray Stevens	spotify:track:6c05I2lI8biGDG3ououyQl	0.587	0.607	4	-7.797	1	0.0317	0.671	0	0.141	0.756	94.45	203093	4	23.50251	10	1
The Loco-Motion	Little Eva	spotify:track:1hClDWPgajpLIFjLOkFuau	0.636	0.893	3	-6.311	1	0.047	0.674	0.00143	0.176	0.887	129.664	148627	4	30.92945	8	1
No Shoes	Cuby & The Blizzards	spotify:track:2jH23pVxvMG77iIDBVCs8J	0.248	0.313	10	-13.214	1	0.036	0.0177	0	0.175	0.363	84.098	271067	3	26.58043	15	0
Who'll Save My Soul	The Motions	spotify:track:6UQea1pXj1u1r881HIECJy	0.272	0.624	9	-8.591	1	0.0346	0.472	0.00995	0.183	0.598	131.789	114640	4	31.89305	7	0
If I Had a Hammer	The Astronauts	spotify:track:1YiP0DY2chawscV4lidvhp	0.366	0.975	11	-12.207	0	0.0571	0.703	8.84e-05	0.977	0.721	189.809	174107	4	51.43924	8	0
Poor Precious Dreams	The Jelly Bean Bandits	spotify:track:0t1SlgBBQvagH1l5oxgt9w	0.573	0.785	2	-9.582	1	0.0827	0.0241	0.00271	0.121	0.514	89.23	123267	4	52.78783	6	0
If You Want This Love	The West Coast Pop Art Experimental Band	spotify:track:4nUDhalC6mjrJgBmRojWM7	0.55	0.576	4	-11.861	0	0.0327	0.0805	3.21e-05	0.3	0.863	134.773	172667	4	47.86619	7	0
Juanita Banana	The Peels	spotify:track:4aHueicFyTxORTrQFEV9mn	0.634	0.512	9	-9.402	1	0.0389	0.59	0.000236	0.222	0.825	125.667	154411	4	35.95226	9	1
Good Combination	Sonny & Cher	spotify:track:5YRBpKTf5lKBy9jYS2TDCn	0.548	0.657	10	-8.783	1	0.0507	0.379	0	0.159	0.728	130.74	179693	4	43.70061	11	1
Love Minus Zero - Remastered	The Turtles	spotify:track:0S6evSJNWGctOIKFEQqpsC	0.51	0.424	2	-12.508	1	0.0314	0.0484	0.196	0.136	0.699	116.897	170296	4	21.02979	10	0
Blue Moon	The Ventures	spotify:track:79BVw1dAEhmoEIPeerlmHb	0.646	0.526	3	-11.051	0	0.0456	0.921	0.801	0.103	0.726	149.0	134867	4	40.82342	5	1
All Tomorrow's Parties	The Velvet Underground	spotify:track:1N1vNR8C8SfY0UoyhVXeWm	0.357	0.498	2	-13.712	1	0.0455	0.04	0.000469	0.0965	0.134	92.432	359680	4	30.3654	18	0
Keep On Dancing	The Gentrys	spotify:track:0U2qjjKAGyednhFU0fxw1B	0.353	0.661	10	-10.699	1	0.0593	0.518	2.88e-06	0.232	0.642	152.771	131840	4	92.35016	3	1
Ring-A-Ding-Ding	Frank Sinatra	spotify:track:7aDkIhew3LINi4Q2P5XYfK	0.566	0.319	5	-11.528	0	0.106	0.674	0	0.167	0.667	159.197	164320	4	47.10819	8	0
Choice of Colors - Single Version	The Impressions	spotify:track:28tgHkgZoBWHsmbzmI41Yt	0.553	0.519	6	-7.645	1	0.0646	0.196	0.000435	0.0562	0.571	87.152	200400	4	35.53494	12	0
So Deep with You	Tommy James & The Shondells	spotify:track:1nXgFnfUaKkzTVmzYqLrf2	0.561	0.457	4	-13.998	1	0.0391	0.118	0	0.16	0.39	91.992	138027	4	51.30901	6	0
Dark Moon	Bonnie Guitar	spotify:track:4KLbSxz7DhssWt1LEl90iB	0.531	0.138	9	-10.636	1	0.0276	0.932	7.33e-06	0.126	0.428	85.514	162692	4	34.86173	9	0
Little Altar Boy	Vic Dana	spotify:track:2I88KzN9B9y7H0p81NtTiI	0.179	0.0307	10	-23.512	0	0.0384	0.932	5.83e-05	0.107	0.208	85.228	202027	4	27.56954	11	1
Black Berries - Pt 1	The Isley Brothers	spotify:track:5olP9v3xgBpvJlhWU9DoxX	0.688	0.681	9	-7.692	0	0.0343	0.243	6.23e-06	0.249	0.798	96.058	186667	4	16.0821	9	1
Doodle	Alexander 'Skip' Spence	spotify:track:3UhGlgq2IveBEEju0ul2qS	0.659	0.267	9	-22.055	1	0.311	0.825	0.923	0.122	0.752	82.034	60733	4	24.47519	4	0
Death of a Gremme	Dick Dale	spotify:track:2UMaKDvk12sqoewpF3Oetk	0.599	0.796	7	-7.835	1	0.0318	0.773	0.376	0.0594	0.885	105.389	167680	4	18.70896	8	0
I Was Made To Love Her	Stevie Wonder	spotify:track:2aCKBrLn7rbhStk5k4FwnF	0.371	0.613	7	-6.685	0	0.0452	0.0589	0	0.0479	0.873	203.732	156440	4	33.86708	7	1
I Had Too Much to Dream (Last Night)	The Electric Prunes	spotify:track:5YgCmkSdGukXqK3fJlX4pQ	0.341	0.714	2	-7.998	0	0.0404	0.354	0	0.31	0.412	147.604	178144	4	70.65227	8	0
California Girls - Remix/Remastered	The Beach Boys	spotify:track:6bJuuCtXYiwOcKT9s8uRh8	0.503	0.62	11	-6.069	1	0.0295	0.471	0	0.159	0.713	116.595	160360	4	23.80881	9	0
Let Me Be (Stereo)	The Turtles	spotify:track:4L02ps1xuQA9eEqRDyIdYM	0.477	0.518	9	-11.638	1	0.0303	0.0225	0	0.16	0.695	129.359	144960	4	25.97539	9	0
Mysterious love	Francesco De Masi	spotify:track:3FvfNRCF2t1Z6pSr0XKIln	0.193	0.162	0	-20.884	1	0.0371	0.893	0.00126	0.199	0.207	175.308	99280	4	31.09334	6	0
Where are the killers? (2)	Francesco De Masi	spotify:track:07s0xFmoxL94C3Ej25A24B	0.563	0.61	8	-9.003	1	0.0384	0.739	0.283	0.342	0.755	130.798	66693	4	30.33654	4	0
We Could	Al Martino	spotify:track:2wLDsBiUgoOXJoxtCDm39a	0.479	0.38	9	-12.492	1	0.0369	0.718	3.85e-05	0.239	0.658	114.12	169693	3	21.2982	9	1
Lovesick Blues	Frank Ifield	spotify:track:2PWQbNVjTfZMk9KwY8cpxy	0.61	0.64	2	-9.388	1	0.255	0.773	0	0.168	0.831	163.005	137093	4	16.12135	9	1
Orange And Red Beams	Eric Burdon & the Animals	spotify:track:1ZDy9Unwzb8sdZP1sbsBGb	0.468	0.35	2	-16.5	1	0.0254	0.786	0.896	0.106	0.401	88.622	223133	4	30.10948	10	0
Stuck on You	Elvis Presley	spotify:track:39zODpVtRvghMyfNjZ3BVK	0.647	0.513	7	-12.372	1	0.0421	0.758	8.64e-06	0.108	0.955	131.641	139640	4	37.58281	8	0
Whipping Post	The Allman Brothers Band	spotify:track:5d2gKbOAzQfJrEjEWq2ZUk	0.385	0.654	4	-9.212	0	0.0356	0.324	0.328	0.0866	0.585	96.803	317438	3	56.26431	12	0
Let the Cold Winds Blow - Remastered	The Turtles	spotify:track:2YSjbGcHbvmUAfC45lRA0e	0.357	0.651	11	-9.282	0	0.0344	0.366	0	0.192	0.884	177.802	136768	4	26.39597	8	0
Cathy's Clown - Remastered Album Version	The Everly Brothers	spotify:track:27bw4i8LnECzVlbMZ4kFHw	0.507	0.561	7	-10.472	1	0.0353	0.548	0	0.59	0.89	120.042	145933	4	25.87381	10	0
I've Lost Everything I've Ever Loved	David Ruffin	spotify:track:28UrAmoEF3BLUELuIBDAjO	0.643	0.744	11	-9.241	1	0.0516	0.0466	0	0.0807	0.782	104.202	180213	4	34.54808	8	1
My Little Red Book	Love	spotify:track:1pBPVzChJfeySTkqCfozDZ	0.823	0.569	0	-8.166	1	0.0372	0.086	3.73e-06	0.0677	0.777	100.575	150133	4	31.14132	8	1
The Great Telephone Robbery	Kim Fowley	spotify:track:1jzAm1aCgeiia7Vs3OU1XM	0.608	0.259	10	-22.011	0	0.947	0.879	0	0.321	0.552	80.551	389253	4	85.16841	13	0
Porpoise Mouth	Country Joe & The Fish	spotify:track:6xiv6dWAsJ0PTE36wLVcXf	0.826	0.296	8	-13.579	0	0.0494	0.404	1.43e-05	0.0488	0.687	117.887	171000	3	24.90387	8	0
Sorry Suzanne	The Hollies	spotify:track:5mLqHfJcDSfJo31eWVFyjF	0.635	0.524	0	-11.778	1	0.0304	0.0515	0	0.17	0.914	123.917	180307	4	51.58199	10	1
Lucy in the Sky with Diamonds	The Terribles	spotify:track:2dnXM37al4xGmEBdnzZJ2l	0.335	0.538	2	-3.571	1	0.0329	0.709	0	0.388	0.517	77.641	194307	4	49.20155	9	0
Revolution	The Beatles	spotify:track:3UDmHZcBTQp8Iu8droNtUl	0.407	0.834	6	-9.224	1	0.208	0.0734	0.00021	0.241	0.71	121.38	205293	4	27.55916	11	1
Cry Like A Baby	The Box Tops	spotify:track:6e5dOtgCiKkITJxtWSuLBE	0.666	0.465	2	-11.785	1	0.0307	0.344	4.82e-06	0.497	0.771	132.808	152400	4	38.11753	7	1
You're No Good	Betty Everett	spotify:track:0eAvTDkEwjRMdD8gdMqB18	0.706	0.401	10	-9.962	0	0.0521	0.935	0.00157	0.543	0.763	110.261	136919	4	40.84682	7	1
I Can't Help It (If I'm Still In Love With You)	B.J. Thomas	spotify:track:05gxElp6T3xNGpZDq0tFOQ	0.481	0.273	5	-14.989	1	0.0336	0.856	0.0292	0.114	0.585	97.954	170653	4	26.99801	10	1
Go Cat Go	Norma Jean	spotify:track:04qLkfv1GKBSDtzo6vulok	0.551	0.252	0	-11.288	1	0.0301	0.867	0	0.118	0.533	135.869	130987	3	26.68067	7	0
Philly Dog	The Mar-Keys	spotify:track:1cHIHTExDFGCg66uRwPeF4	0.58	0.798	3	-5.673	1	0.0389	0.0732	0.8	0.912	0.849	146.55	189360	4	20.30162	10	1
Workin' On A Groovy Thing	Patti Drew	spotify:track:0r5aPIQ3H9knqQT6qyW4Zy	0.363	0.582	7	-6.698	1	0.0286	0.486	4.3e-06	0.457	0.894	101.681	191773	4	31.46058	8	1
If You Want This Love	Sonny Knight	spotify:track:4ZUoxQRuDxESt8m6bSNDlp	0.75	0.255	9	-16.059	0	0.099	0.754	2.44e-05	0.0901	0.655	109.12	124413	4	45.55182	6	1
Sleep Walk	The Ventures	spotify:track:7nmF4EjkFktHAlXmeD6u7T	0.652	0.186	0	-21.463	1	0.0329	0.854	0.00892	0.131	0.592	120.397	124000	3	26.22346	7	0
The Last Thing I Remember (Chalon Road Version)	The Turtles	spotify:track:771wUKOElACjJ7pVkB55uB	0.372	0.588	9	-9.023	1	0.0319	0.048	8.62e-05	0.0626	0.32	98.499	208827	4	36.2552	7	0
Bad Trip - Alternative Version	Fifty Foot Hose	spotify:track:16u8IT4CLCbIUHDbdI52HE	0.291	0.814	2	-5.511	1	0.0566	0.0702	0	0.205	0.463	86.676	154333	4	36.48208	6	0
Suspicious Minds	Elvis Presley	spotify:track:1H5IfYyIIAlgDX8zguUzns	0.487	0.382	7	-10.889	1	0.0309	0.0422	4.74e-06	0.411	0.714	116.557	261280	4	39.82231	12	1
But You're Mine	Sonny & Cher	spotify:track:0LuxhJENJYd7yc315s1zms	0.476	0.684	2	-8.251	1	0.0364	0.0654	9.83e-06	0.306	0.491	126.828	184533	4	35.72668	9	1
No Time - Mono Master	The Monkees	spotify:track:3ielPwxP8XALNC3eWSW6JL	0.455	0.919	4	-6.145	1	0.0391	0.226	0.215	0.151	0.976	152.044	129400	4	37.71653	8	0
The Love Of My Man	Theola Kilgore	spotify:track:24HkOeTvVDvIsFLpqBYIrQ	0.257	0.474	7	-7.942	1	0.0273	0.353	4.67e-05	0.21	0.437	149.094	197239	3	34.74656	8	1
A Hundred Pounds Of Clay	Gene McDaniels	spotify:track:4s9qKAu0wMyIWVUB7Cuv3j	0.684	0.389	0	-10.933	1	0.035	0.604	0	0.369	0.824	129.06	142027	4	30.40448	8	1
When I Get Home - Remastered 2009	The Beatles	spotify:track:4oLQ0imA5IDtNUnhFKY87q	0.568	0.793	9	-6.201	0	0.0482	0.384	0	0.388	0.64	125.375	136640	4	31.63444	7	0
Broken Heart	The Fiestas	spotify:track:7gI8kpNFqSjQ6OMmGi711s	0.66	0.45	7	-10.666	1	0.0415	0.87	0.0219	0.218	0.843	125.555	161760	4	21.50115	8	1
Salute To The Nurses	Sgt. Barry Sadler	spotify:track:3r91XocTNeNZhPzNKWFHyE	0.42	0.299	0	-10.178	1	0.0347	0.845	0.000769	0.185	0.481	167.514	138907	4	30.39369	7	0
Patti Ann	Johnny Crawford	spotify:track:543Qtjzov7A5acT4He5yUt	0.542	0.361	4	-13.809	1	0.028	0.601	2.93e-05	0.324	0.533	138.441	132133	4	26.92116	7	1
Hooka Tooka	Chubby Checker	spotify:track:1iTu0QWGXjKNOxxna7tyl1	0.775	0.678	1	-6.953	1	0.0298	0.662	0.0212	0.0804	0.91	109.6	130960	4	26.15339	8	1
The Boy Next Door	The Secrets	spotify:track:4DVSn9CXSXehYTkHXZl0Sy	0.6	0.607	8	-13.188	1	0.119	0.486	0	0.0615	0.624	144.613	123133	4	23.57776	7	1
Penny Lane - Take 6 / Instrumental	The Beatles	spotify:track:2ac3duEVpfrlgx4FGoPvxA	0.901	0.548	0	-6.808	1	0.0996	0.667	0.837	0.161	0.135	120.775	175547	3	39.8675	9	0
Party Girl	Bernadette Carroll	spotify:track:1g6b5h7Zyo54Nub1aHlHbf	0.502	0.756	9	-9.727	1	0.0531	0.829	0.188	0.0846	0.769	123.343	139440	4	39.32597	7	1
Walkin' My Cat Named Dog	Norma Tanega	spotify:track:6S89ZitemdRnIshumKqpyt	0.572	0.55	2	-6.205	1	0.0282	0.459	0	0.181	0.857	111.609	138600	4	56.98484	7	1
The Gift	The Velvet Underground	spotify:track:6xst1yRHJ2IkMQE0ebeU11	0.543	0.568	0	-11.922	1	0.0849	0.122	0.59	0.274	0.65	112.649	499747	4	39.20335	21	0
Soul Man	Big John Patton	spotify:track:6LFtM3MaQEVA0E3RGRy4R0	0.607	0.457	9	-14.905	0	0.0397	0.575	0.14	0.0964	0.516	126.704	372360	4	32.95963	16	0
Give Me Whiskey	Made In Sweden	spotify:track:2R0qF3DY86LB27JfGzg4uz	0.249	0.569	10	-13.704	0	0.0472	0.743	0.78	0.101	0.802	187.393	262400	3	61.02028	10	0
The Yellow Snake - 2010 Remaster	The Incredible String Band	spotify:track:450mkDHpqiwTI1lPiLu25W	0.429	0.14	2	-15.097	1	0.0415	0.839	0.00048	0.0582	0.214	127.039	125240	4	38.21483	6	0
Great Balls Of Fire	Jerry Lee Lewis	spotify:track:5UvE5QlINnvEc7aFO14DVL	0.4	0.818	0	-11.238	1	0.08	0.458	3.25e-06	0.132	0.936	166.287	109707	4	34.63612	7	0
Rosalyn	The Pretty Things	spotify:track:2dBzLcwzdbhCkKJYUepZFF	0.449	0.962	5	-6.223	1	0.0846	0.779	0.000193	0.366	0.388	114.702	140643	4	25.75962	9	0
You Didn't Have To Be So Nice	The Lovin' Spoonful	spotify:track:7khsvqWYjms5UASgLb8bft	0.638	0.622	1	-10.035	0	0.0265	0.809	0.00385	0.0416	0.871	130.354	146400	4	21.2237	9	1
Too Much	The Easybeats	spotify:track:2UZMVw800hcY8fSCo20I3L	0.682	0.449	11	-6.912	0	0.0476	0.38	0.000258	0.12	0.568	131.0	107467	4	18.96983	6	0
Happy Is The Man	The Easybeats	spotify:track:4Hc7iPyML2YTx5oclXFPx2	0.485	0.764	10	-7.475	1	0.0447	0.165	0.00565	0.287	0.684	169.866	171667	4	37.4528	8	0
Here Comes My Baby	The Tremeloes	spotify:track:4jKq3767lb2mWKCvas6E7Z	0.514	0.882	7	-5.306	1	0.0491	0.0154	0	0.389	0.942	92.147	184107	4	27.79247	8	1
Who'll Read the Will	The Weeds	spotify:track:3kxDXvE6yKZNJAlmiYVhMD	0.374	0.893	8	-9.991	1	0.11	0.105	0.000263	0.111	0.565	175.349	150267	4	26.99089	8	0
I Feel So Bad	Elvis Presley	spotify:track:42X4AMue61nbWRF7VGIbSz	0.502	0.68	5	-11.368	1	0.0406	0.75	0.0483	0.232	0.937	91.813	174160	4	33.70751	10	1
So Lonely - Remastered Version	The Everly Brothers	spotify:track:5wiYVcw6BliRLDdJnS4NWq	0.576	0.509	1	-9.714	1	0.0261	0.54	1.02e-06	0.132	0.449	105.672	158587	4	30.12383	10	0
Shimmy Shimmy	The Orlons	spotify:track:0d7vdZtSkKwUt5H4gxoOGz	0.489	0.889	7	-5.638	1	0.0598	0.665	0.000198	0.248	0.962	177.084	139933	4	24.40531	8	1
Mohair Sam	Tages	spotify:track:07hlcmWBhRML2KMJLRa3Nr	0.61	0.872	9	-7.797	0	0.0699	0.133	0	0.0781	0.859	134.939	113693	4	68.35559	5	0
Crackshot	Floating Bridge	spotify:track:20uXhAwVqF8lMYKnjx0htO	0.377	0.646	4	-6.607	0	0.0298	0.000274	2.56e-05	0.31	0.432	106.971	419827	4	40.82909	20	0
Cover Me	Percy Sledge	spotify:track:2qhXUDLja1d632GIxRtm1z	0.503	0.251	9	-11.052	1	0.026	0.341	2.24e-05	0.511	0.491	81.786	170520	4	48.99517	7	1
Only Dreaming	The Action	spotify:track:3Y5bVwP0RJPpGjxpOh63NV	0.468	0.649	2	-15.229	1	0.0533	0.0831	0.319	0.0922	0.779	140.044	199640	4	30.1281	11	0
The Poster	The Monkees	spotify:track:3uVuD7WdoniYq5bT2kCxPa	0.594	0.566	2	-9.44	1	0.0288	0.614	5.03e-05	0.655	0.699	114.739	141733	4	20.47699	7	0
Follow Me	The Drifters	spotify:track:4nGIIeemCmkJ2I3hpC3x43	0.731	0.533	0	-10.168	1	0.0409	0.357	0	0.379	0.848	111.003	154133	4	22.5817	11	1
Runaround Sue	Dion	spotify:track:0kY5UKJr6HJHYL8bFuam9s	0.469	0.6	2	-9.445	1	0.0783	0.321	0	0.0596	0.653	158.348	172787	4	46.75149	8	0
C.C. Rider	Bobby Powell	spotify:track:27cpFYGnU26PkLtntFLaNu	0.66	0.242	10	-14.723	1	0.0321	0.555	3.5e-06	0.261	0.743	69.084	165333	4	60.2212	7	1
Don't Be Cruel	Barbara Lynn	spotify:track:585ZObjzGQuYHXcaLL1GGl	0.799	0.557	6	-8.364	0	0.0381	0.763	1.35e-05	0.406	0.771	114.597	158600	4	34.52956	8	1
For Your Sweet Love	The Cascades	spotify:track:6mS99AQ7ZeG7uvrc3dqUyc	0.597	0.381	1	-17.797	1	0.0377	0.905	0.921	0.234	0.821	129.176	126721	4	40.73595	8	1
Thank You - 2012 Remaster	Led Zeppelin	spotify:track:4pW4DF1119GLHiuWE7Jcb4	0.292	0.306	7	-13.158	1	0.0547	0.184	0.0046	0.144	0.131	79.406	289485	4	27.20534	10	0
Girl You're Too Young	Archie Bell & The Drells	spotify:track:7v7iraFbfC12qCZEJFmHAg	0.628	0.604	6	-8.329	0	0.0325	0.521	0	0.41	0.599	128.302	143853	4	34.86626	8	1
She's Got the Action - Stereo Version	The Sorrows	spotify:track:4IZ9MAmeEIs5mAySqIPLqG	0.609	0.795	7	-6.065	1	0.175	0.169	2.62e-05	0.0608	0.752	114.13	111040	4	29.12651	7	0
Come Back Silly Girl	The Lettermen	spotify:track:4QkvXIZGRmR2k7yduFFj9L	0.408	0.364	7	-14.743	1	0.0277	0.665	0.00862	0.301	0.429	96.429	147493	4	30.16817	9	1
Lazy Elsie Molly	Chubby Checker	spotify:track:7oWWiJW6cVFGfd5jAlO59W	0.69	0.777	11	-7.091	1	0.108	0.358	0	0.572	0.962	171.965	140973	4	41.91424	7	1
All I Need	The Temptations	spotify:track:6mdLen2d7jtAzDig0GgKKA	0.594	0.632	10	-12.076	1	0.0291	0.354	0	0.153	0.743	98.121	190040	4	40.00807	10	1
