Brown Paper Sack,The Gentrys,spotify:track:2MUmxGWK06HQtnCklHgOio
Are You Lonesome Tonight,Elvis Presley,spotify:track:6vXZs9rEQF7Nd6O8Ue7NrT
"Bye, Bye Baby - Live at the Winterland Ballroom, San Francisco, CA - April 1968",Big Brother & The Holding Company,spotify:track:3BWGIPnO6VmE2DOOS4BGji
Down in the Boondocks,Billy Joe Royal,spotify:track:2wTdZ6wy0AJp5LcYzWcVt5
Evil Ways,Santana,spotify:track:5tmrnhMxx39jnu3kjopMdP
Slowly,Ann-Margret,spotify:track:48dQN3bgcqgLLgpPfhhdkh
Make The Music Flow,The Cowsills,spotify:track:5hSuqChJ2wI4TNG4bxhzsY
Walking Down Lonely Street,Ty Wagner,spotify:track:59SyZluEMqpljn8Tp2zuEx
Spirit In The Sky,Norman Greenbaum,spotify:track:3mCWKPHZZGTcmKZff5LTRz
Let's Go Trippin',The Astronauts,spotify:track:7f4jxmBQBmfTyRCl41uRSt
Crosstown Traffic,Jimi Hendrix,spotify:track:1ntxpzIUbSsizvuAy6lTYY
Memories O' Fair-Haired Mary,The Motions,spotify:track:6y3XBMCqnhp0u6JZkti4AV
Me And You,Brenton Wood,spotify:track:6HTFY66ZttBULqR1108Zmy
Out of Limits,The Marketts,spotify:track:7xAJpAeopaV6rilu3iiwME
Popsicle Pimp,The Three Sounds,spotify:track:1sS7vcHMCphmghaxMsnyJN
The Kids Are Alright,The Who,spotify:track:4zJBF8rXepeoJ0qJOqMLhj
Ya Ya,Lee Dorsey,spotify:track:0SRDvk8M4HCxJyaEscoaqY
It's A Hard Life,The Seeds,spotify:track:3i9f1ZX8IbZVsZSoSuHO8D
Wanderin' Kind (Stereo),The Turtles,spotify:track:51ygxUIlRuTka0ZbhOu2c2
Coconut Grove - 2003 Remaster,The Lovin' Spoonful,spotify:track:0RWaDCmW4eBj4pre9RiObP
Poison Ivy - Version 2,The Rolling Stones,spotify:track:76BKEctt3WFnHBLHSpi0Tu
Closing Hymn,The Electric Prunes,spotify:track:6ywbX0DMelsgEHB1weT5Q3
Hungry,Paul Revere & The Raiders,spotify:track:3Xk6vNkMKVoPu4BaTi9j94
Open My Eyes,Nazz,spotify:track:7Jp3kMUSKQeT3tMVOjaBeD
Alfie's Theme,Big John Patton,spotify:track:5mk84DqUosHEpyXU9x4lB0
Girl's Eyes - Incl. Bag O' Nails Jingle,The Who,spotify:track:5sbQGIXQRZCTu6TCQHie5e
She's So Fine,Noel Redding,spotify:track:5r97cYQ6UtqKMWV3bUwHRU
Diane's Big Daddy,Writing On The Wall,spotify:track:4RhhpTsbGe7ISphc3fYhwx
Queen Of My Nights,The Blues Magoos,spotify:track:51Xu8xee3mb4Wwim31Y51q
Unwind With The Clock,Strawberry Alarm Clock,spotify:track:3SPc6lCdejju6kmm18u9Xb
You Didn't Have To Be So Nice,The Lovin' Spoonful,spotify:track:3GNPDi8igS9svIk2KRsdwN
My My My,The Easybeats,spotify:track:7mDvuijhzfzVbKaC23OR4W
On the Strip,Dave Grusin,spotify:track:1x6g9ClvJxAWsc8C7ggG1L
You Keep Me Hangin' On,The Supremes,spotify:track:0tQg5fcYxx1yTKyFHu0LEo
The Lover,Tommy James & The Shondells,spotify:track:7jPZ1fboR5AJWQz7XAxzrX
Weel Wired,Daughters of Albion,spotify:track:7kBoKdCO5N3kaUpdNz6v3L
You Can't Judge a Book (By the Cover),The Shadows Of Knight,spotify:track:04OeyDqWJC6zJmVPy2s4Nn
Wish It Were You,Tommy James & The Shondells,spotify:track:0XpRJD6aw1qkZhE4K7vZHw
Swami-Plus Strings (feat. Ken Thorne),The Monkees,spotify:track:6AACUWf6Q8MdUSWDVMwefB
How Lucky (Can One Man Be),The Uniques,spotify:track:4BM2dpKovVpFoKrVfVVdOi
Keep Your Mind Open,Kaleidoscope,spotify:track:5xu7dKDRDYyUgnIid5c1yB
Whole Lotta Love - 2012 Remaster,Led Zeppelin,spotify:track:3OuMIIFP5TxM8tLXMWYPGV
Jealous Heart,Al Martino,spotify:track:1n808g3ydEALPAV2dQovPO
All of Your Toys - Stereo Remix,The Monkees,spotify:track:1vvKVyR5aPTnZ4c403WIdp
Chain of Fools,Aretha Franklin,spotify:track:2oZmMp5M6L0Rh7G84Um2tF
Baby Don't You Do It,Small Faces,spotify:track:2DfoGFEG3lZHs7DnysHcKC
Take This Hurt Off Me - Different Version,Small Faces,spotify:track:3qZaJZFLnWMKUEssgb2yXq
Mary Lou,The Astronauts,spotify:track:74b2uMklMmmZk8DkJTAkhy
I Am Blessed,Nina Simone,spotify:track:2fUQOBjcM45bazjMt8rvsx
"Tonight, Tonight",Frankie Valli & The Four Seasons,spotify:track:1o2okO3KpdTdlze4jSGLUW
It's so Easy,The Easybeats,spotify:track:4h0l41zyu4wzKqNMiDXJg2
Fist City,Loretta Lynn,spotify:track:6BLoKpgWtQbYqFDFUp9ApX
North Country Blues,Bob Dylan,spotify:track:3cY8cOjaN8Lwi08g9Fpr6D
Dear Diary,The Moody Blues,spotify:track:1yjNl4IdJ36QJ8Ml6HqyPc
Light Flight,Pentangle,spotify:track:6kdL7lwL7GftOGGLNDuoRE
Things We Said Today,The Sandpipers,spotify:track:6leWYtAu4MKllIFPUQIfPy
Draggin' Deuce,The Super Stocks,spotify:track:0XBA1K86Z1MyzCd6JMZJtW
Trip #76 - Mono,The Deep,spotify:track:5Gg6SjuPbOgfjpWx9apAm9
El Conquistador,The Chantays,spotify:track:2uJS28MWvtdsCAz4NFF6TT
Don't Look Back (feat. Van Morrison) - Mono Version,Them,spotify:track:4DPy8k0CXh4i8pm5gtHpuw
Ladyfingers,Herb Alpert & The Tijuana Brass,spotify:track:4FZifwCZGSIzHOPGdIREee
Wake Up And Find Me - Stereo,The Deep,spotify:track:3kdIoc0qVFsbUA85I0dgka
Think I'll Run Away - Remastered,The Turtles,spotify:track:4D7p4BIxT2IFUPXmFqUOJ2
A Guy Without Wheels,The Super Stocks,spotify:track:4ViMEA6tARIHDl5l508wNt
I Don't Mind - Full Length Stereo Version,The Who,spotify:track:3ksMdT7GDv3USrNLepNOnC
Don't Worry Baby - Remastered 2001,The Beach Boys,spotify:track:1GLmaPfulP0BrfijohQpN5
Songs Of Yesterday,Free,spotify:track:7jYXoudEWfERVDFZHM8Nfw
Il pittore,I Camaleonti,spotify:track:5U6pjcIXgdGOmRRb5pF9lq
"Down On Me (Second Version) - Live at the Winterland Ballroom, San Francisco, CA - April 1968",Big Brother & The Holding Company,spotify:track:6C9KfesdoZqZUPSGjc3Y1H
Run Run Run,The Velvet Underground,spotify:track:5HSTzkRI1sWGIMnWp2rAeT
Everybody Loves Somebody,The Johnny Mann Singers,spotify:track:4U6UFevxFdmD781gX1TKXV
Night Owl Blues - Alternate Take/Previously Unreleased,The Lovin' Spoonful,spotify:track:7BkNOibEgWgrxlanAFQIW5
Give Love A Trial (Stereo),The Turtles,spotify:track:0u9KmJSUhsowCHAGNEcmA0
Randy Scouse Git - Tracking Session Composite,The Monkees,spotify:track:6b6mDguYfCdhqyAgGS2RHi
What The Young Minds Say,The Art Of Lovin',spotify:track:0YCvKaytxNa1i5xRKW5Fgp
Diana,Paul Anka,spotify:track:2k6qpHJsrKCCyvsHv2cPqR
A Very Special Man,The Easybeats,spotify:track:5gourO1k86CNwLRqDEd2g1
School Bus Blues,The Super Stocks,spotify:track:2aXPeQ0kJIDsmmZB5jHB55
In A Sentimental Mood,Duke Ellington,spotify:track:0E8q2Fx2XuzXCO2NSAppkR
Waitin' Around To Die,Townes Van Zandt,spotify:track:2XwXMYbYP6wZSTiidPr38Y
Sittin' On The Top Of The Roof,The Motions,spotify:track:3oxt9vE4DC4FEe9GmDgnOZ
Black Veils of Melancholy - Mono Version,Status Quo,spotify:track:4wtc8yFZIsqNrLA7e0nNAg
Night Life,Elvis Presley,spotify:track:4YvSMrVeAntgSWEzfNAJYz
The Ox - Stereo Version,The Who,spotify:track:59m1tc2ZSJAigpMvtrL7vM
Imitation Situation 1,Fever Tree,spotify:track:4uEfG1EL1EzitkLNbfLfyq
Blowin' in the Wind - mono version,Bob Dylan,spotify:track:1CMD0hk3bBdTrRWfz8mjiy
Baby Please Don't Go,The Amboy Dukes,spotify:track:5FDGmW9TgycCTVwPnKZ4xC
Fortunate Son,Creedence Clearwater Revival,spotify:track:3yI282DoIJyERd0vGukMoB
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,spotify:track:3B3jI9LaQyOwrtjdlnNOw0
Baldheaded End of a Broom,Kaleidoscope,spotify:track:4Tq5ko6UnSFwXvRswDMwba
All My Problems (Stereo),The Turtles,spotify:track:6PmKfO9QSFOMVYvU4sFXFH
Friends Of Mine - 2003 Remastered,The Guess Who,spotify:track:4RnCD6wl6dSV2dXRn1ur11
Mighty Mighty (Spade & Whitey),The Impressions,spotify:track:05FpmoDQliCEfbyIxbORtM
I Miei Sogni,Le Orme,spotify:track:48VZvbjOhx6GEz1a7K3vK8
Eve Of Destruction (Mono),The Turtles,spotify:track:3X5e5of0MwHiWS6CychKcp
Can I Get A Witness? - Mono,Dusty Springfield,spotify:track:0JaXfwNkb5FSgOKJACpNGq
Smoke Gets in Your Eyes,The Sorrows,spotify:track:44Fyg83Gj0VE5FcjI0PkRG
Surf Stomper,The Sentinals,spotify:track:6mxthspqG4ypvelDl5bidD
Don't Let Love Pass You By,Tommy James & The Shondells,spotify:track:4qvWoBfBEkQ1ffYTnZA7GL
Walking Through My Dreams,The Pretty Things,spotify:track:0fhw3Iuf2gN4i3P4CCmnJm
The Look of Love,Nina Simone,spotify:track:0EiGzshQIaM98eOXdKTGaD
Always Coming Back To You,Scott Walker,spotify:track:3mKSG0qFog3ksawdmrK8aE
Because - Remastered 2009,The Beatles,spotify:track:1rxoyGj1QuPoVi8fOft1Kt
Hurry up John,The Idle Race,spotify:track:0nQvN6p4gAI8dSCz4IMMPr
Fanny Mae,Tommy James & The Shondells,spotify:track:5Lm3yNHgDPpw1SNnpRzzZQ
Dark Moon,Bonnie Guitar,spotify:track:4KLbSxz7DhssWt1LEl90iB
Unchain My Heart,The Astronauts,spotify:track:5uIGVPKLZvhoPwHnHVLCUm
Tears Of Rage - Remastered,The Band,spotify:track:1FEdEeL3LVSw0upgUChKAB
Leavin' Trunk,Keef Hartley Band,spotify:track:4SoICrZ3Gf9Dlv8XdJ166H
Sgt. Pepper's Lonely Hearts Club Band - Remix,The Beatles,spotify:track:3J2RmOkB4VRBv4N66Nor0y
4:56 Stingray,The Astronauts,spotify:track:0A0DIwHnUx0Fx6bmmCl2mS
Springtime Girl,The Yellow Balloon,spotify:track:6WopiALhVmcYdfCUHfY3z4
Femme Fatale,The Velvet Underground,spotify:track:5FexwXG6IS5O7GjvjSosA4
Much Too Much - Stereo Version,The Who,spotify:track:2iF7nYS39eqxO0O2vmZK4x
Till the End of the Day - Mono Mix,The Kinks,spotify:track:014NOunS25K1LbcM6DlQ5I
What'Cha Gonna Do About It,Small Faces,spotify:track:2idK7CD9FAtuSZUHbbgMOi
Seven-Ate Sweet,Kaleidoscope,spotify:track:6x1Oa5rcL5rPChvYoVhf9u
O QuizÃÂ¡s Simplemente Le Regale una Rosa,Leonardo Favio,spotify:track:3kCCDi4L4yVw2FklTpEBdv
Legend Of A Mind,The Moody Blues,spotify:track:7Gzlsdq3UscVRqRn7x7avR
Sgt. Pepper's Lonely Hearts Club Band - Take 1 / Instrumental,The Beatles,spotify:track:4J60mvnuHBQYd4fqpLbPnV
Coming Your Way - 2013 Remaster,Fleetwood Mac,spotify:track:4ZC6OO6P6mE3AtgZZhHECZ
Backlash Blues,Nina Simone,spotify:track:2bdapwYVEGpGWxlx3iooAB
Strange Brew,Cream,spotify:track:3ET8TZWF5sP4SPfJK1lKun
I Know That You'll Be There (Stereo),The Turtles,spotify:track:2K4P1keT8diK8opBSU4VSI
Citadel,The Rolling Stones,spotify:track:1LP4ukbT3JGasxcDpesVtb
Season of the Witch - 2005 Remastered Version; Mono,Donovan,spotify:track:0wYKsBc8vgHebSjagb6IT6
Dance This Dance with Me (Demo) - Remastered,The Turtles,spotify:track:432hZgieYIQ0QeI6D4EHFa
TropicÃÂ¡lia - Remastered 2006,Caetano Veloso,spotify:track:2KMnA4LAbdxCOiRCE1KHL8
The Secret of Pleasure,The Holy Mackerel,spotify:track:4A3Z6AbUPribskE6qtwf10
"Baby, You're A Rich Man - Remastered 2009",The Beatles,spotify:track:0JBvtprXP2Z0LP3jmzA7Xp
Tell Him,Sonny & Cher,spotify:track:1346XpPwnJy3MuOMnVJeMG
Love Minus Zero (Mono),The Turtles,spotify:track:323KlaEiJR5dUSOROC7yxf
Think I'll Run Away (Mono) - Remastered,The Turtles,spotify:track:724MWgEkSdpNdfIBi0Te5L
Heavy Weight,Jimmy McGriff,spotify:track:6fzQ7narHWOH7aTQKRk6CP
Please Please Please,The Who,spotify:track:3ClO3QnQIKO78RUmt22w3c
Waiting For The Man - Live,The Velvet Underground,spotify:track:5WRpVme5zcktPx7hRQ8nU1
Love symbol,Stelvio Cipriani,spotify:track:3vNHs34l9b5snH8pplvZ6E
She's Leaving Home - Remastered,The Beatles,spotify:track:1Ipl1kvks5s6GKn6oqgzeY
What A Mess Again,Les Variations,spotify:track:6cxhN5hUCdznNzg54QmxuI
Libra,Gary Usher,spotify:track:5pSseFDyeweYbEbkesG2Sz
Aquarius/Let The Sunshine In,The Ray Conniff Singers,spotify:track:231qGXkEHyTwI1mmWLvMdu
Words Of Love - Remastered 2009,The Beatles,spotify:track:42qkSeX6HNJYHxlk6cWoFe
Guide for the Married Man (Mono) - Remastered,The Turtles,spotify:track:4J2IPnJ0zqLS4FrdtFceAH
Mr. Spaceman,The Byrds,spotify:track:2I4w98sLe9GiU20IFF0A2w
I Can Only Give You Everything,Bram Rigg Set,spotify:track:79RNoGBmyEgwUqTu7aX7TC
Time of Day,The Remains,spotify:track:6CiDo650dKKPFbTcN32rzR
When I'm Sixty-Four - Take 2,The Beatles,spotify:track:5UOd4rjE1TYeEQrQRTQHKv
What a Girl Can't Do,The Hangmen,spotify:track:0DgwjTHT260k2oUrOAj02R
Flying High,Country Joe & The Fish,spotify:track:5v0ibjQegpYdMUGL95dI1a
Ol' Man Mose - Mono,The Swinging Blue Jeans,spotify:track:1WbAiLeecI2LucNnedLJ8P
Shut Down - Remastered 2001,The Beach Boys,spotify:track:3Gbt5V4ziKObpKNafmgyx1
Ibiza Bar,Pink Floyd,spotify:track:0ng5q14OCwukb4W09AuuQv
Let The Boy Rock 'N' Roll,The Lovin' Spoonful,spotify:track:0koOd77ukgI1srUzQ2ydNg
Writing Wrongs,The Monkees,spotify:track:19C99mCxRTsnP4A4fGWD3e
Lisa - Alternate Mix,The Easybeats,spotify:track:2M0FMWrNKKDoUNXl1nMPtL
They Saw The Fat One Coming,Strawberry Alarm Clock,spotify:track:6m9w6YiLxe77NGGOTiRfXO
Whiskey Man,The Who,spotify:track:4sl5JtRvLPA66npXXDS7wa
Black Magic Woman - Single Version,Santana,spotify:track:4YMQXzscifAREG0a7KNGhB
Things We Said Today - Remastered 2009,The Beatles,spotify:track:0voUr8lubIafUVJlauJxYF
I Think We're Alone Now,Tommy James & The Shondells,spotify:track:3AXDLGI5TIYi72JcYFvNpv
Baby Don't Go,The Weeds,spotify:track:2IXCQkjlb1mNyUjcfYJleu
Cry Baby Cry - Remastered 2009,The Beatles,spotify:track:5XmetMMUFNXClbiYnGdVmP
You Can't Catch Me,The Blues Project,spotify:track:1cwi90wiNt2MLpILR6qUQv
What About Our Love,The Easybeats,spotify:track:4uOdOP9EH8xgprcy25ijIl
For One Moment,Lee Hazlewood,spotify:track:548ov3fQQt9Ohtb9GApA14
You Can't Ever Come Down,Joe Byrd & The Field Hippies,spotify:track:6sK8FHSCLOJhQKHnFcH4PA
Wild Thing,Senator Bobby,spotify:track:5HbRi1fwxhZArT9IubMgr8
Hyperbolicsyllablecsesquedalymistic - Album - Remaster,Isaac Hayes,spotify:track:4aiJAJ7afdCErvrhJcw3lc
Choice of Colors - Single Version,The Impressions,spotify:track:28tgHkgZoBWHsmbzmI41Yt
Boys - Remastered 2009,The Beatles,spotify:track:7JxGM1R32ZqfwZou3VtnTg
Secret Agent Man,Mel TormÃÂ©,spotify:track:6Kpsabh77p8aOAO7EqfKEw
You're Getting Old,The Blues Magoos,spotify:track:1yF8mUuRlJe6RAaxIl2Sq0
My Little Brown Book,Duke Ellington,spotify:track:4rmCI9VWrwrJTJ8XQ80BMN
Bertil BrostrÃÂ¶m,Lars FÃÂ¤rnlÃÂ¶f,spotify:track:0EtrFKTos6yvDKKnbNrb2Y
Happy Birthday to You,The Monkees,spotify:track:34E1ttM2pM5d8w5yCjxCII
It's Not Time Now,The Lovin' Spoonful,spotify:track:5lhujmEUG5jx4Ad6aHy1Kc
Come Together,MC5,spotify:track:1WAcfuBRrBTtptDZlREEGA
Ain't That Her,The Remains,spotify:track:50ze4OX8Y2ByHt2JZvYPgd
I Will Always Want You,Dusty Springfield,spotify:track:61Fs67uv5xCNbqDiDU05HU
Sha La La La Lee - Mono Version,Small Faces,spotify:track:3iVCeplpYsRyOFoM1nbE13
Liberation Conversation,Marlena Shaw,spotify:track:2HfPDk2WomKnYP8hWjiLch
A Big Hunk O' Love,The Astronauts,spotify:track:5YNRLqb2g6lm19kz82OKtV
My Generation - Version 2 Demo / Fragment / 2016 Mix,The Who,spotify:track:6xYVyucR13V1SPlcHNQXti
Second Time Around,Dusty Springfield,spotify:track:1xeFvumPdnn887HeWFu1mX
Grandmother Hooker,The Apple Pie Motherhood Band,spotify:track:6LzjPE9lvGc6xCXdvgf0VO
What Is and What Should Never Be - 1990 Remaster,Led Zeppelin,spotify:track:5G7uLHtoEW140QOcBpJlfz
Kick Out the Jams,MC5,spotify:track:1cLfXnBwTFuRngRZfQeLof
Person Without a Care (Mono) - Remastered,The Turtles,spotify:track:6OaXptVjPQVqDTgO2biwqW
I Need Someone (Mono),The Turtles,spotify:track:2jx8ViH45Iezrq1snZXl9W
The Hawker (Eyesight To The Blind) - Live,The Who,spotify:track:1oOUzrDq0jn9nbxHpSEf4G
Love Me Again,Strawberry Alarm Clock,spotify:track:6sp81ZU2cOyhNaDNPTYqH8
Color Me True,Sly & The Family Stone,spotify:track:7e3gIQQIuGnVUUcGUOJNgM
Shout And Shimmy - Alternative Mix / 2000 Remix,The Who,spotify:track:4vgOyEPhuf8qrfTg8bSiKF
Dear Joy,Strawberry Alarm Clock,spotify:track:089mC51Dm1HY5w2yZKX9rk
Karkadon,The Devil's Anvil,spotify:track:0BBicbK6NvvKpNn1wAsUPW
Peace Of Mind,Count Five,spotify:track:114Q5BWvvCAFjbxlT4DitD
Looking In My Eyes,The Motions,spotify:track:0q5PATpMvs62qpUYI5ydhg
