Outside Woman,Bloodstone
When I Dream,Crystal Gayle
I Just Wanna Keep It Together,Paul Davis
Be My Baby,Cissy Houston
Suite: Man And Woman,Tony Cole
Funny Face,Donna Fargo
Tell Me A Lie,Sami Jo
Neanderthal Man,Hotlegs
A Cowboys Work Is Never Done,Sonny & Cher
Your Sweetness Is My Weakness,Barry White
Friends,Elton John
The Wonder Of You/Mama Liked The Roses,Elvis Presley
The Message,Cymande
Everyone's Agreed That Everything Will Turn Out Fine,Stealers Wheel
When I Think Of You,Leif Garrett
I'll Play For You,Seals & Crofts
I Could Have Danced All Night/Jump For Joy,Biddu Orchestra
Don't Leave Me Starvin' For Your Love (Part 1),Holland-Dozier
You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive
Gone At Last,Paul Simon/Phoebe Snow
Bloat On Featuring the Bloaters,Cheech & Chong
American Pie (Parts I & II),Don McLean
Confusion,Electric Light Orchestra
Without You,Nilsson
Heavenly,The Temptations
River's Risin',Edgar Winter
I Love My Friend,Charlie Rich
You Are The Woman,Firefall
"Cole, Cooke & Redding",Wilson Pickett
Never Gonna Fall In Love Again,Eric Carmen
"Living Together, Growing Together",The 5th Dimension
Summer Sun,Jamestown Massacre
One Way Sunday,Mark-Almond
Theme From Electric Surfboard,Brother Jack McDuff
Save The Country,The 5th Dimension
If You Let Me,Eddie Kendricks
I Miss You Baby,Millie Jackson
A Little More Love,Olivia Newton-John
Without You In My Life,Tyrone Davis
Love Her Madly,The Doors
I'm Better Off Without You,The Main Ingredient
"Baby, What A Big Surprise",Chicago
Anytime,Journey
Rendezvous,The Hudson Brothers
January,Pilot
Don't It Make You Wanna Dance?,Rusty Wier
Stop The War Now,Edwin Starr
Breezin',George Benson
I Don't Want To Make You Wait,The Delfonics
Country Preacher,Cannonball Adderley
Mammas Don't Let Your Babies Grow Up To Be Cowboys,Waylon & Willie
No Charge,Melba Montgomery
I Will Be In Love With You,Livingston Taylor
Help Me Find A Way (To Say I Love You),Little Anthony And The Imperials
Drinking Wine Spo-dee O'dee,Jerry Lee Lewis
Indiana Wants Me,R. Dean Taylor
Soul Makossa,Afrique
Half-Breed,Cher
You Take My Heart Away,James Darren
Snowbird,Anne Murray
"Love, Reign O'er Me",The Who
We Never Danced To A Love Song,The Manhattans
Lady Love,Lou Rawls
Flesh And Blood,Johnny Cash
Mother-in-law,Clarence Carter
Valerie,Cymarron
Light Sings,The 5th Dimension
Why Me,Styx
Long And Lonesome Road,The Shocking Blue
Take A Look Around,The Temptations
One Fine Day,Julie
You Can Do Magic,Limmie & Family Cookin'
Sailing Ships,Mesa
Danny's Song,Anne Murray
Homely Girl,The Chi-lites
Remember Me,Diana Ross
Rub It In,Layng Martine
Take It Easy,Eagles
Let Me Be Your Lovemaker,Betty Wright
Where Have They Gone,Jimmy Beaumont And The Skyliners
Easy Street,Edgar Winter Group
Mother,Barbra Streisand
Surfin' U.S.A.,The Beach Boys
If I Can't Have You,Yvonne Elliman
I'd Rather Leave While I'm In Love,Rita Coolidge
Get Down,Curtis Mayfield
Rainy Jane,Davy Jones
On And On,Gladys Knight And The Pips
Nothing But A Breeze,Jesse Winchester
Easy,Commodores
Someday (I Didn't Want To Have to be the One),Henry Gross
Funky Chicken (Part 1),Willie Henderson And The Soul Explosions
Devil's Gun,C.J. & Company
Werewolf,Five Man Electrical Band
Standing In For Jody,Johnnie Taylor (The Soul Philosopher)
Thank God For You Baby,Pacific Gas And Electric
Everything I Own,Bread
Starman,David Bowie
Woodstock,Matthews' Southern Comfort
We're Together,The Hillside Singers
It Never Rains In Southern California,Albert Hammond
Wonderful Baby,Don McLean
And You And I (Part II),Yes
Keep Your Head To The Sky,"Earth, Wind & Fire"
Imaginary Lover,Atlanta Rhythm Section
"1,000 Laughs",Eloise Laws
I'll Erase Away Your Pain,Whatnauts
I Love,Tom T. Hall
Is It Because I'm Black,Syl Johnson
I Want To Be Free,Ohio Players
Hill Where The Lord Hides,Chuck Mangione
I'm Just A Prisoner (Of Your Good Lovin'),Candi Staton
Hey Big Brother,Rare Earth
I Love You,Donna Summer
Feel The Beat (Everybody Disco),Ohio Players
How Can I Tell Her,Lobo
Wish That I Could Talk To You,The Sylvers
With Your Love,Jefferson Starship
Light Of A Clear Blue Morning,Dolly Parton
Blood Is Thicker Than Water,William DeVaughn
Surrender,Diana Ross
After The Lovin',Engelbert Humperdinck
Every Which Way But Loose,Eddie Rabbitt
Ride A White Swan,Tyrannosaurus Rex
Here Comes That Rainy Day Feeling Again,The Fortunes
George Jackson,Bob Dylan
Dear Ann,George Baker Selection
Tryin' To Beat The Morning Home,T.G. Sheppard
Apartment 21,Bobbie Gentry
Precious And Few,Climax
Fallin' In Love,"The Souther, Hillman, Furay Band"
If You Know What I Mean,Neil Diamond
Let Your Love Go,Bread
Our House,"Crosby, Stills, Nash & Young"
Tenth Avenue Freeze-out,Bruce Springsteen
Take It Slow (Out In The Country),Lighthouse
Life/Only Believe,Elvis Presley
Share The Land,The Guess Who
Ooh Baby,Gilbert O'Sullivan
A Dream Goes On Forever,Todd Rundgren
The Rockford Files,Mike Post
Circles,The New Seekers
Hideaway,John Sebastian
Let's Pretend,Raspberries
Love Don't Live Here Anymore,Rose Royce
Just The Same Way,Journey
Love In 'C' Minor,The Heart And Soul Orchestra
"Stop, Look, Listen (To Your Heart)",The Stylistics
It's Up To You Petula,Edison Lighthouse
Down To The Line,Bachman-Turner Overdrive
One Nation Under A Groove - Part I,Funkadelic
Thunder And Lightning,Chi Coltrane
Ain't That Enough For You,John Davis And The Monster Orchestra
Overnight Sensation (Hit Record),Raspberries
Life And Breath,Climax featuring Sonny Geraci
Whenever I'm Away From You,John Travolta
Whatcha See Is Whatcha Get,The Dramatics
Must Of Got Lost,The J. Geils Band
"Love Me, Love Me Love",Frank Mills
Attitude Dancing,Carly Simon
Heart Of Glass,Blondie
Chairman Of The Board,Chairman Of The Board
Help Me,Joni Mitchell
Walk Easy My Son,Jerry Butler
Rainy Night In Georgia/Rubberneckin',Brook Benton
Don't Say You Don't Remember,Beverly Bremers
My Life,Billy Joel
What Time Of Day,Billy Thunderkloud & The Chieftones
I Don't Want To Do Wrong,Gladys Knight And The Pips
Get It Together,Jackson 5
Crackerbox Palace,George Harrison
Champagne Jam,Atlanta Rhythm Section
Don't Cry Out Loud,Melissa Manchester
Everybody Loves A Rain Song,B.J. Thomas
Roll In My Sweet Baby's Arms/I'm So Lonesome I Could Cry,Hank Wilson
"Slipped, Tripped And Fell In Love",Clarence Carter
Love Is In The Air,John Paul Young
Love Or Let Me Be Lonely,The Friends Of Distinction
Saturday Nite,"Earth, Wind & Fire"
Dancing In The Moonlight,King Harvest
(Love Is) Thicker Than Water,Andy Gibb
Good Thing Man,Frank Lucas
Get Ready,Rare Earth
Hot Summer Nights,Night
I've Got The Next Dance,Deniece Williams
Country Woman,The Magic Lantern
"Say, Has Anybody Seen My Sweet Gypsy Rose",Dawn Featuring Tony Orlando
Silver Threads And Golden Needles,Linda Ronstadt
Never Dreamed You'd Leave In Summer,Stevie Wonder
Do The Funky Chicken,Rufus Thomas
Cupid,Johnny Nash
Come Sail Away,Styx
I'm Doin' Fine Now,New York City
See The Light,The Flame
Evil Boll-weevil,Grand Canyon
Jennifer Tomkins,Street People
Frisky,Sly & The Family Stone
He,Today's People
Wolf Creek Pass,C.W. McCall
You Stepped Into My Life,Melba Moore
Cherish,David Cassidy
Ain't Nothing Like The Real Thing,Aretha Franklin
Sweet Music Man,Kenny Rogers
Boogie Bands And One Night Stands,Kathy Dalton
Love Really Hurts Without You,Billy Ocean
Stone Cold Sober,Crawler
The Dream Never Dies,Cooper Brothers
Don't Stop 'til You Get Enough,Michael Jackson
"I Love You, I Love You, I Love You",Ronnie McDowell
Cheer,Potliquor
Sunshine Part II,The O'Jays
Dedicated To The One I Love,The Temprees
You're Only Lonely,J.D. Souther
Instant Karma (We All Shine On),John Ono Lennon
Up Your Nose,Gabriel Kaplan
She Did It,Eric Carmen
Two Doors Down,Dolly Parton
Flim Flam Man,Barbra Streisand
Trying To Make A Fool Of Me,The Delfonics
The Lord's Prayer,Sister Janet Mead
Who Do Ya Love,KC And The Sunshine Band
"Dance, Dance, Dance",The New Seekers featuring Marty Kristian
American Woman/No Sugar Tonight,The Guess Who
Barracuda,Heart
Crazy Love,The Allman Brothers Band
Let Me Sleep Alone,Cugini
Get Up (I Feel Like Being Like A) Sex Machine (Part 1),James Brown
Theme From King Kong (Pt. I),Love Unlimited Orchestra
Last Kiss,Wednesday
Marianne,Stephen Stills
Okie From Muskogee,Merle Haggard And The Strangers
I Ain't Got Time Anymore,The Glass Bottle
Bed Of Rose's,The Statler Brothers
That's The Way I Feel About Cha,Bobby Womack & Peace
Hot Stuff/fool To Cry,The Rolling Stones
Roll On,The New Colony Six
'til I Can Make It On My Own,Tammy Wynette
Rock 'N Roll Soul,Grand Funk Railroad
"Ob-la-di, Ob-la-da",The Beatles
Funk It Up (David's Song),Sweet
Out In The Country,Three Dog Night
Rock Me On The Water,Jackson Browne
Can't Help Falling In Love,Al Martino
The Way I Want To Touch You,Captain & Tennille
Let's Get It On,Marvin Gaye
Fire & Rain,R.B. Greaves
Wrap Your Arms Around Me,KC And The Sunshine Band
"I Can't Help Myself (Sugar Pie, Honey Bunch)",Donnie Elbert
Oh Girl,The Chi-lites
Tell Me Something Good,Rufus Featuring Chaka Khan
Ajax Airlines,Hudson and Landry
Oh La De Da,The Staple Singers
Saturday Night,Bay City Rollers
Rock And Roll Crazies,Stephen Stills-Manassas
Lowdown,Boz Scaggs
Break Up To Make Up,The Stylistics
Want Ads,The Honey Cone
I Hope We Get To Love In Time,"Marilyn McCoo & Billy Davis, Jr."
Wheels Of Life,Gino Vannelli
A Very Special Love Song,Charlie Rich
Ain't No Stoppin' Us Now,McFadden & Whitehead
The Air That I Breathe,The Hollies
I Believe In Music,Gallery
Fire Sign,Cory
Wasn't It Good,Cher
I'll Come Running,Livingston Taylor
Shakey Ground,The Temptations
I Am Somebody Part II,Johnnie Taylor
One Day At A Time,Marilyn Sellars
Skybird,Tony Orlando & Dawn
Fly Like An Eagle,Steve Miller
I Wish It Was Me You Loved,The Dells
River,Joe Simon
You're The Only One,Geils
"Money, Money, Money",ABBA
I Wanna Be Free,Loretta Lynn
Sooner Or Later,The Impressions
Hold On,Wild Cherry
Love Won't Let Me Wait,Major Harris
My Pearl,Automatic Man
At Midnight,T-Connection
Country Side Of Life,Wet Willie
Outa-Space,Billy Preston
There Ain't No Way,Lobo
To The Other Woman (I'm The Other Woman),Doris Duke
Money Back Guarantee,Five Man Electrical Band
Look-Ka Py Py,The Meters
Slaughter,Billy Preston
Somebody Loves You,The Whispers
Bad Luck,The Atlanta Disco Band
If I Said You Have A Beautiful Body Would You Hold It Against Me,Bellamy Brothers
"Let Me Party With You (Part 1) (Party, Party, Party)",Bunny Sigler
Who Loves You Better - Part 1,The Isley Brothers
I'm A Woman,Maria Muldaur
She Said Yes,Wilson Pickett
Tight Rope,Leon Russell
Summer Nights,John Travolta & Olivia Newton-John & Cast
I Go To Rio,Pablo Cruise
Sylvia's Mother,Dr. Hook And The Medicine Show
Galaxy,War
Without Love (There Is Nothing),Tom Jones
5-10-15-20 (25-30 Years Of Love),The Presidents
Dig The Gold,Joyce Cobb
Do You Feel All Right,KC And The Sunshine Band
Super Bad (Part 1 & Part 2),James Brown
Come Into My Life,Jimmy Cliff
Sideshow,Blue Magic
Down By The River,Buddy Miles
"Guns, Guns, Guns",The Guess Who
Spirit In The Sky,Norman Greenbaum
Day By Day,Godspell
Use Ta Be My Girl,The O'Jays
Full Of Fire,Al Green
I Belong To You,Love Unlimited
The Football Card,Glenn Sutton
I'm Sorry,John Denver
How Can I Be Sure,David Cassidy
Peace Will Come (According To Plan),Melanie
Tryin' To Love Two,William Bell
Ain't No Mountain High Enough,Diana Ross
Smile A Little Smile For Me,The Flying Machine
Nights Are Forever Without You,England Dan & John Ford Coley
Trouble In My Home/I Found My Dad,Joe Simon
A Million To One/Young Love,Donny Osmond
How Can I Tell My Mom & Dad,The Lovelites
How Do You Feel The Morning After,Millie Jackson
"Oh, Babe, What Would You Say?",Hurricane Smith
Thank You For Being A Friend,Andrew Gold
Chattanooga Choo Choo,Tuxedo Junction
Beyond The Blue Horizon,Lou Christie
Welcome To Our World (Of Merry Music),Mass Production
Between Her Goodbye And My Hello,Gladys Knight And The Pips
Get Down,Gilbert O'Sullivan
Car Wash,Rose Royce
Stayin' Alive,Bee Gees
"Pinball Wizard/See Me, Feel Me",The New Seekers
(Just Like) Romeo And Juliet,Sha Na Na
All The Young Dudes,Mott The Hoople
The Long And Winding Road/For You Blue,The Beatles
Day After Day,Badfinger
The Closer I Get To You,Roberta Flack With Donny Hathaway
"Betcha By Golly, Wow","The Stylistics Featuring Russell Thompkins,Jr."
Easy To Love,Leo Sayer
Voices,Cheap Trick
Don't Let Go,Isaac Hayes
L.a. Sunshine,War
"Getting It On/Ride, Sally, Ride",Dennis Coffey & The Detroit Guitar Band
The Pride (Part I),The Isley Brothers
I Can't Stand It No More,Peter Frampton
Living In The U.s.a.,The Steve Miller Band
Bed And Board,Barbara Mason
And My Heart Sang (Tra La La),Brenda & The Tabulations
Starry Eyes,The Records
Love Is Gonna Come At Last,Badfinger
Blow Away,George Harrison
7-6-5-4-3-2-1 (Blow Your Whistle),Gary Toms Empire
Duncan,Paul Simon
Me And You And A Dog Named Boo,Lobo
It's The Same Old Song,KC And The Sunshine Band
Strange Way,Firefall
You + Me = Love/Let's Go Down To The Disco,Undisputed Truth
"Music, Harmony And Rhythm",Brooklyn Dreams
All Strung Out On You,John Travolta
All I Know,Garfunkel
Telephone Line,Electric Light Orchestra
It's All In The Game,Four Tops
The Other Woman,Vicki Lawrence
Summertime Blues,The Who
Sugar Daddy,Jackson 5
Over My Head,Fleetwood Mac
And The Grass Won't Pay No Mind,Mark Lindsay
Can The Can,Suzi Quatro
(She's A) Very Lovely Woman/The Long Way Around,Linda Ronstadt
Heaven Must Be Missing An Angel (part 1),Tavares
On The Shelf,Donny & Marie Osmond
Dance (Disco Heat),Sylvester
Rock And Roll Part 2,Gary Glitter
If You Love Me (let Me Know),Olivia Newton-John
He's The Greatest Dancer,Sister Sledge
Wake Up And Love Me,April
You're The One,The Three Degrees
Our Last Song Together,Bo Donaldson And The Heywoods
Powder Blue Mercedes Queen,The Raiders
Theme From Superman (Main Title),The London Symphony Orchestra/John Williams
That's The Way I've Always Heard It Should Be,Carly Simon
Wavelength,Van Morrison
What Would The Children Think,Rick Springfield
Heartbreaker,Grand Funk Railroad
"Bad, Bad Leroy Brown",Frank Sinatra
A Passion Play (Edit #8),Jethro Tull
Junior's Farm/Sally G,Paul McCartney And Wings
Never My Love,Blue Swede
The Americans (A Canadian's Opinion),Gordon Sinclair
Once You Hit The Road,Dionne Warwick
Always And Forever,Heatwave
(You've Got Me) Dangling On A String,Chairman Of The Board
Listen To Her Heart,Tom Petty
Happy,Hog Heaven
Bad Water,The Raelettes
Rockin' And Rollin' On The Streets Of Hollywood,Buddy Miles
The Best Disco In Town,The Ritchie Family
You're Fooling You,The Dramatics
Black Night,Deep Purple
Feel Like Makin' Love,Roberta Flack
The Way You Do The Things You Do,Rita Coolidge
Hello Old Friend,Eric Clapton
Son Of Shaft,The Bar-Kays
Boogie Woogie Man,Paul Davis
Songman,Cashman & West
Dancing In The City,Marshall Hain
Once A Fool,Kiki Dee
Moody Blue/she Thinks I Still Care,Elvis Presley
Bohemian Rhapsody,Queen
For A While,Mary Macgregor
It's Uncanny,Daryl Hall John Oates
"Que Sera, Sera (Whatever Will Be, Will Be)",Mary Hopkin
Spaceship Superstar,Prism
Love Bug,Bumble Bee Unlimited
"Theme Song From ""Which Way Is Up""",Stargard
My Part/Make It Funky (Part 3),James Brown
Still Crazy After All These Years,Paul Simon
"Yes, I'm Ready",Teri DeSario With K.C.
Thank God I'm A Country Boy,John Denver
Amarillo,Neil Sedaka
Pop That Thang,The Isley Brothers
Runaway Love,Linda Clifford
"What's Your Name, What's Your Number",Andrea True Connection
Easy Rider (Let The Wind Pay The Way),Iron Butterfly
Come On And Say It,The Grass Roots
Runaway/Happy Together,Dawn Featuring Tony Orlando
Dancer,Gino Soccio
Take The Money And Run,Steve Miller
Sweet Talkin' Woman,Electric Light Orchestra
Don't Leave Me In The Morning,Odia Coates
The Fonz Song,The Heyettes
I (Who Have Nothing),Tom Jones
Spaceman,Nilsson
First Cut Is The Deepest,Keith Hampshire
Volcano,Jimmy Buffett
The Fightin' Side Of Me,Merle Haggard And The Strangers
I Believe In You (You Believe In Me),Johnnie Taylor
Sitting,Cat Stevens
I Need You,Euclid Beach Band
I Want To Live,John Denver
No,Bulldog
"I Don't Know What It Is, But It Sure Is Funky",Ripple
Tightrope Ride,The Doors
Love Music,The Raiders
Easy Loving,Freddie Hart
The Plastic Man,The Temptations
It's You That I Need,Enchantment
If You're Ready (Come Go With Me),The Staple Singers
Mixed Up Guy,Joey Scarbury
Iko Iko,Dr. John
Timothy,The Buoys
Time For Me To Fly,REO Speedwagon
Words (are Impossible),Donny Gerrard
Fox On The Run,Sweet
Don't It Make My Brown Eyes Blue,Crystal Gayle
And When I Die,"Blood, Sweat & Tears"
You've Got A Friend,Roberta Flack & Donny Hathaway
You Are A Song,Batdorf & Rodney
Just One Look,Linda Ronstadt
Something He Can Feel,Aretha Franklin
Don't Worry Baby,B.J. Thomas
I Stand Accused,Isaac Hayes
I'm On Fire,5000 Volts
Message In Our Music,The O'Jays
Please Tell Him That I Said Hello,Debbie Campbell
I'd Rather Love You,Charley Pride
Stand By Your Man,Candi Staton
War Song,Neil Young & Graham Nash
Promises,Eric Clapton And His Band
Crazy Talk,Chilliwack
You Brought The Woman Out Of Me,Evie Sands
Gotta Be The One,Maxine Nightingale
Touch And Gone,Gary Wright
Rock 'n' Roll Fantasy,Bad Company
Smilin',Sly & The Family Stone
Dance Master Pt. 1,Willie Henderson
Deteriorata,National Lampoon
She Didn't Know (She Kept On Talking),Dee Dee Warwick
Check It Out,Tavares
Instant Replay,Dan Hartman
Here Comes The Sun,Richie Havens
Romeo,Mr. Big
Ease On Down The Road,Diana Ross & Michael Jackson
Choo Choo Mama,Ten Years After
I Only Have Eyes For You,Jerry Butler
Diamonds,Chris Rea
New Kid In Town,Eagles
Me And Julio Down By The Schoolyard,Paul Simon
Ashes To Ashes,The 5th Dimension
Turn The Beat Around,Vicki Sue Robinson
It's All Down To Goodnight Vienna/Oo-Wee,Ringo Starr
Take Me I'm Yours,Michael Henderson
You Got To Be The One,The Chi-lites
Your Mama Don't Dance,Kenny Loggins & Jim Messina
Hold Back The Night,The Trammps
I'll Do For You Anything You Want Me To,Barry White
Brand New Love Affair (Part I & II),Chicago
Babe,Styx
Don't Let Go,Commander Cody
Heartbreaker,Pat Benatar
Honey I,George McCrae
Can We Still Be Friends,Robert Palmer
Keep On Loving Me (You'll See The Change),Bobby Bland
Hot 'N' Nasty,Humble Pie
"Signed, Sealed, Delivered I'm Yours",Stevie Wonder
Love Or Leave,The Spinners
Something's Burning,Kenny Rogers & The First Edition
We've Only Just Begun,Carpenters
All My Trials,Ray Stevens
Rockin' Pneumonia - Boogie Woogie Flu,Johnny Rivers
Them Changes,Buddy Miles & The Freedom Express
Butter Boy,Fanny
She's Gone,Daryl Hall John Oates
"Lisa, Listen To Me","Blood, Sweat & Tears"
One Night Stand,The Magic Lanterns
If I Didn't Care,The Moments
House At Pooh Corner,Nitty Gritty Dirt Band
Don't It Make You Want To Go Home,Brook Benton With The Dixie Flyers
Tumbling Dice,The Rolling Stones
Ready,Cat Stevens
Manhattan Spiritual,Mike Post
One-Way Ticket,Tyrone Davis
Reeling In The Years,Steely Dan
Hotel California,Eagles
Island Girl,Elton John
It's O.k.,The Beach Boys
Lido Shuffle,Boz Scaggs
Dreaming A Dream,Crown Heights Affair
The Joker,The Steve Miller Band
Rock N' Roll (I Gave You The Best Years Of My Life),Mac Davis
Who's Gonna Take The Blame,Smokey Robinson & The Miracles
Sometimes,Facts Of Life
That's What Love Will Make You Do,Little Milton
Talking In Your Sleep,Crystal Gayle
Wear This Ring (With Love),Detroit Emeralds
On And Off (Part 1),Anacostia
"Baby, You Look Good To Me Tonight",John Denver
Must Have Been Crazy,Chicago
Please Pardon Me (You Remind Me Of A Friend),Rufus Featuring Chaka Khan
Rock And Roll Star,Champagne
Lost In Your Love,John Paul Young
Love Uprising,Otis Leaville
Ask Me,"Ecstasy, Passion & Pain"
Long Time,Boston
Free Ride,Edgar Winter Group
I.O.U.,Jimmy Dean
Doctor My Eyes,Jackson Browne
(I'm A) YoYo Man,Rick Cunha
Ramblin Man,The Allman Brothers Band
Best Thing,Styx
Tequila Sunrise,Eagles
Theme From Mahogany (Do You Know Where You're Going To),Diana Ross
Celia Of The Seals,Donovan
Wholy Holy,Aretha Franklin With James Cleveland & The Southern California Community Choir
Carolina In My Mind,Crystal Mansion Featuring Johnny Caswell
Say You Love Me,D.J. Rogers
Ridin' The Storm Out,REO Speedwagon
It Only Takes A Minute,Tavares
On A Night Like This,Bob Dylan
Hooked On A Feeling,Blue Swede
Devoted To You,Carly Simon & James Taylor
Hey Deanie,Shaun Cassidy
The Joker,Snail
Wild In The Streets,British Lions
Up In Heah,Ike & Tina Turner
King Kong - Pt. I,The Jimmy Castor Bunch
Hold Tight,Vicki Sue Robinson
Daddy Don't You Walk So Fast,Wayne Newton
Ooh Poo Pah Doo,Ike & Tina Turner
Let Me Make Love To You,The O'Jays
Dancin' 'round And 'round,Olivia Newton-John
The Love I Lost (Part 1),Harold Melvin And The Blue Notes
Teenage Love Affair,Rick Derringer
You,Rita Coolidge
Rock With You,Michael Jackson
Big Time Operator,Keith Hampshire
Three Times A Lady,Commodores
Showdown,Odia Coates
Sister Golden Hair,America
Save It For A Rainy Day,Stephen Bishop
I Feel A Song (In My Heart)/Don't Burn Down The Bridge,Gladys Knight And The Pips
Which Way You Goin' Billy?,The Poppy Family (Featuring Susan Jacks)
If Love Must Go,Dobie Gray
Hot Child In The City,Nick Gilder
Mongoose,Elephant's Memory
Nothing To Hide,Tommy James
I Do Love You,GQ
I Don't Love You Anymore,Teddy Pendergrass
Is She Really Going Out With Him?,Joe Jackson
Twisting The Night Away,Rod Stewart
Jump Into The Fire,Nilsson
So Much Love,"Faith, Hope And Charity"
Tonight's The Night (Gonna Be Alright),Rod Stewart
Only You Can,Fox
Hopelessly Devoted To You,Olivia Newton-John
I'm Gonna Take Care Of Everything,Rubicon
The Runway,The Grass Roots
That's The Way I Want Our Love,Joe Simon
Puppet Man/Resurrection Shuffle,Tom Jones
Love To Love You Baby,Donna Summer
My Sweet Lady,John Denver
Just Let It Come,Alive 'N Kickin'
Do It To My Mind,Johnny Bristol
Come To Me,Tommy James And The Shondells
How Do You Do?,Mouth & MacNeal
It's Only Rock 'N Roll (But I Like It),The Rolling Stones
Proud Mary,Ike & Tina Turner
Breaking Up Somebody's Home,Albert King
Good Lovin' Gone Bad,Bad Company
Your Cash Ain't Nothin' But Trash,The Steve Miller Band
When You're Young And In Love,The Choice Four
Good Morning Freedom,Daybreak
Where Have All Our Heroes Gone,Bill Anderson
Please Mr. Please,Olivia Newton-John
Sunshine,Jonathan Edwards
Ain't Nothing Like The Real Thing,Donny & Marie Osmond
Rapper's Delight,Sugarhill Gang
Run For Home,Lindisfarne
Pay To The Piper,Chairman Of The Board
