Der Kommissar,After The Fire,spotify:track:0OCoPwxoxtmhwTzUCpilQc
A Friend's Place,Mack Browne & The Brothers,spotify:track:5OhcJL9pq0N10FCAb1SfZp
Bumpy's Blues,Mack Browne & The Brothers,spotify:track:53iRXI9hcRu30YjQiW0TuV
Ohio / Machine Gun,The Isley Brothers,spotify:track:3ED1bJFd5g9jwHa8N97BuN
Middle Of The Night,Lalo Schifrin,spotify:track:3riHHRLTFgNfegt7fzdm8i
Sylvia,Arthur Verocai,spotify:track:7gd7BDwZWjGXD6CfX7KQcF
Dedicada a ela,Arthur Verocai,spotify:track:0eVnhQNFTRZXOIhHZNLX85
To rebound,Giuliano Sorgini,spotify:track:2G8juv5zMmzXUxdIgSfmnA
Grasshopper,The Mamas & The Papas,spotify:track:6igI2z2fHLceeKHS37GbnO
Khala My Friend,Amanaz,spotify:track:5xevas4P14kVmD4St0X3yy
Vida Antiga,Erasmo Carlos,spotify:track:3hPm7wwK3QaTJMe8jptr32
Na boca do sol,Arthur Verocai,spotify:track:5oiueCPkJCU9wCmQO5HDTj
Flying Fish,Asha Puthli,spotify:track:4G8WTDpV1IOrgOYU5gAXBe
Sunday Morning,Amanaz,spotify:track:7rFu5IhLj50r2tNM2d2cat
Poxa,Cortex,spotify:track:4NaIl2XLSgc5AoFIZm1NIU
Kothbiro,Black Savage,spotify:track:2l8Z2vA4DW21mAcmdA7QCw
Ungena Za Ulimwengu (Unite The World),The Undisputed Truth,spotify:track:6AkLY10RHXu6U7808L6reG
Just Like a Baby,Sly & The Family Stone,spotify:track:6Omb07SkH7gZzYkNKf1iRh
Oh! Sweet Nuthin' - 2015 Remastered,The Velvet Underground,spotify:track:0i19MAZbyn8uTir7FprXId
Purple Heather,Van Morrison,spotify:track:6HOEvcvvRU6eMtI96SA2Es
54-46 Was My Number,Toots & The Maytals,spotify:track:1q8gelFgFYUwoWpQV7WNCe
Mannish Boy,Muddy Waters,spotify:track:58PSYdY0GFg0LFb2PxYk4T
Ozan Kouklé - Remastered,Lafayette Afro Rock Band,spotify:track:639O967X7bNLy5sv6zZYc5
Spiralys,Daniela Casa,spotify:track:089QVmTJ2rRWkLtf79Fmm8
Tamfo Nyi Ekyir,The Apagya Showband,spotify:track:7EIcrNEiV1SgNdYNjmgslO
Atwer Abroba,Ebo Taylor,spotify:track:1Xb0Oz9aunX1lpq9T29PWh
Peace On Earth,Ebo Taylor,spotify:track:5AarKoTInrX0cN9CsRRFWA
Vôo sobre o horizonte,Azymuth,spotify:track:1hlikalamWYpdmg3OhfFJ1
Thank God for the Rain,Bernard Herrmann,spotify:track:34OJUOcKvRrMMVpY3Ow9jL
When There Is No Sun,Sun Ra,spotify:track:03EswEfc8sYqEVAyjOfFFn
Crying Every Night (These Eyes),Stranger Cole,spotify:track:0nLAoalQ2ldnvIDAnxssHQ
Sunshower,Dr. Buzzard's Original Savannah Band,spotify:track:5SWfqINCAFg3N4x9bcegYf
It Looks Like Love,Goody Goody,spotify:track:2mCLc4lZjbpcpXgNBrC5lY
Baby,Donnie & Joe Emerson,spotify:track:62wdQ5CInFr7cjISqrr46f
Cio che e' scritto nel vento,Giorgio Gaslini,spotify:track:6wCsRchz3850j0GgfXYjrV
Now You're Gone,Curtis Mayfield,spotify:track:78Yi6oDrD1X7VQJec5WeA7
Dear Angie - Remastered 2010,Badfinger,spotify:track:54qG9hpUjLgkgTJQ9qvB1P
Wild Life - 2018 Remaster,Wings,spotify:track:0DtItzol85j6j5F9j9V36Q
Impeach the President,The Honey Drippers,spotify:track:2KKyVgKvMf0oZPP4pQTETi
Love for Sale,Mirot,spotify:track:65Zp5caRK5a5A9PWioAPo7
Barbara,Grimaldi Frizzi,spotify:track:457PsE9U7obm9vIbm8E5RS
Amofen,Sandro Brugnolini,spotify:track:718EzXxfGITDg1NJ9yt5GB
Survivor,Klaus Weiss,spotify:track:413Iz32UCzyMh7AAPdUtLB
Bumpy's Lament,Mack Browne & The Brothers,spotify:track:3tuDCFSxG2W6XIJKhS0hcX
Walk And Talk - 2015 Remastered Demo Version,The Velvet Underground,spotify:track:6wDO9a0v8BFiNaSupEe6ik
Don't Get Around Much Anymore - Live,Duke Ellington,spotify:track:119PhnbZcN2qXxYLjokzfN
One Piece at a Time,Johnny Cash,spotify:track:1sueD22EyCamMjdQu9Kuo3
Waiting For The Man,The Velvet Underground,spotify:track:39Ol4T0FMdMTGj9oytWUVq
The Red Rooster,Howlin' Wolf,spotify:track:3zZXYIdKiq0hjMWQ3oYMdC
Sitting On Top Of The World,Howlin' Wolf,spotify:track:4wqBlV9jC6FvTFnL53CUL0
You're Sixteen-Your're Beautiful (And You're Mine) - Single Version,Johnny Burnette,spotify:track:5HEDjLbZzujPv6xiylsCQ2
Singing the Blues,Marty Robbins,spotify:track:4vcHOxfV846dVjyToPFBRp
The Doctor,"West, Bruce & Laing",spotify:track:5S1t1XZTgMafIZnq8VQpff
Superstition,"Beck, Bogert, Appice",spotify:track:4UCWKwvKwcyUQagaD85X0I
Mississippi Queen,Mountain,spotify:track:4vO9dmzNRqDhFY3jD1a3P7
Homicidal Suicidal - 2013 Remaster,Budgie,spotify:track:4Cmd2tRRRfuRdd3q5FtYtI
Back Street Love,Trapeze,spotify:track:08VqR3Yw43jxGuVN2fsrrw
Cherry Red - 2003 Remastered Version,The Groundhogs,spotify:track:0VgTTRgreWtHsOwDY8qfvZ
Breakthrough,Atomic Rooster,spotify:track:4LwrmHM4m9oGbpMoaS7N1W
Evil Woman,Spooky Tooth,spotify:track:7I74tItBgPFJ2MWpIBz3rf
Jay Time,Hard Stuff,spotify:track:3HFTyptVVD8oQTVAHn1VtC
Nantucket Sleighride (To Owen Coffin),Mountain,spotify:track:1bYeGuZ53iXJISeE4po2bi
Hello New York,Silverhead,spotify:track:5nxfZ90oT3j3hSrMTgLTEy
What's Going On,Taste,spotify:track:1P72prbyNhGamvDkE1gydH
Ethiopia,Jericho Jones,spotify:track:4kv72VcI0Ghcrr9slH3eoW
Rock the Nation,Montrose,spotify:track:2ls7Y9Xx07TqN7WjbT9sZD
We're An American Band - Remastered 2002,Grand Funk Railroad,spotify:track:3XcjIvaZVUFAIdIYZqY9bd
Free Ride,The Edgar Winter Group,spotify:track:4MlXFjRO6N7NXvMqPlH35o
"Rock and Roll, Hoochie Koo",Rick Derringer,spotify:track:57qlkytk7LUfbQcSG1n4c5
Cruisin' Down the Highway,James Gang,spotify:track:026VkpZ1VugOyUcbwnb5z1
Highway (Killing Me) - 2016 Remaster,Foghat,spotify:track:26lMoZvdVmBdAribSN7RLL
There Goes Another Love Song,The Outlaws,spotify:track:5jKdSZtw2yst6FzDJ4yvEV
Burlesque,Family,spotify:track:3p7X0hnVPpPuhzXPSoaCjA
Spirit in the Sky,Norman Greenbaum,spotify:track:0Y2SrByf4G3kbq2nBEHQRn
Sweet Jane,Mott The Hoople,spotify:track:6FfW6UCP2xGzhVcPWiyP9t
Shoot Out At The Fantasy Factory,Traffic,spotify:track:4K4OfAXrewIwK8d9AFwF7O
Hoochie Koochie Lady,Elf,spotify:track:3iOnEaedNue7TCA8Xx58qL
Stranglehold,Ted Nugent,spotify:track:2f0P7iELCvAlV8j6Z3rGDE
Day of the Eagle - 2007 Remaster,Robin Trower,spotify:track:5Q2ZqlZAJMJqUOobeElNlY
She's My Lady,Wet Willie,spotify:track:5NIxqTYSHg5ZSZChhYr3fF
Green Grass & High Tides,The Outlaws,spotify:track:2sXtpY9mCTXnUTUSQqrXbX
Time Will Be Your Doctor,Fuzzy Duck,spotify:track:6RjCZccSQXr7shEkN11YDu
Strange Kind Of Magic,Zior,spotify:track:2eYHDsS2hCaNZ2wpjwPHeU
"Shame, Shame",Peter French,spotify:track:6Yq2fHDsSa2OZEE4zP7Bub
Evil - Single Version,Cactus,spotify:track:3eMlVhkJzPVdpyngg8Zop6
Slip On Through - Remastered 2009,The Beach Boys,spotify:track:6BzZvQJsXi68wSvFTHU9bC
Holdin' on to Yesterday,Ambrosia,spotify:track:5nFpF7jUbVnnDMXIu65aoh
Super Stupid,Funkadelic,spotify:track:3UWjRHybauXUnb9AGp59gI
Theme from the Planets,Dexter Wansel,spotify:track:3cun7DzGeFGrJSgJgl5yQq
Midnight Train,Tommy James,spotify:track:5LDtVAi47L2hnYlkoBz2FC
King Of The World,Steely Dan,spotify:track:0ZxWG91nxZcCsEUd6ykc6i
I'm Gonna Make It Alright,Paul Pena,spotify:track:3yWDzBjajZaOWpytQTcUox
International Feel - 2015 Remaster,Todd Rundgren,spotify:track:3grM7XFXsz6NdtIqogedeN
You Don't Love Me,Smith,spotify:track:0dl8UZWQhdyfvCOxWEOcZp
Sugar Man,Rodríguez,spotify:track:17nOJOcPbcl4sKzM2yyYDp
Go Down Gamblin',"Blood, Sweat & Tears",spotify:track:6bWjr4qT4d58NuPEepedEr
Are You My Woman? (Tell Me So),The Chi-Lites,spotify:track:7B32ckntos5QYbV9o7GF3q
Modern Man Blues,10cc,spotify:track:42wdSwrf5idLi5kfdjQRhJ
Miracles,Jefferson Starship,spotify:track:3OMLd7mpOFpzWeZ5kx9DRD
Montego Bay,Bobby Bloom,spotify:track:6TBUBqz21JmF2hkeRbnwme
One After 909 - Remastered 2009,The Beatles,spotify:track:50qHmeex1nPTyQTwBXjSE4
Chained,Three Dog Night,spotify:track:35FM08UdNh1BFwKf9aLxDo
Saturday in the Park - 2002 Remaster,Chicago,spotify:track:4OJFkrRQqol4FsPesF8eu4
In the Eye of the Sun,The Doors,spotify:track:57jyCG2tQoLpvFMJRIPWLQ
Flute Thing,Seatrain,spotify:track:0tSw8aQVeaULvNi6H8QFWB
Just Can't Be,The Flying Burrito Brothers,spotify:track:0Ov9Hh2ygoGCkwTXMRYRcp
That's Your Secret,Sea Level,spotify:track:4cPgzpdeKtOkgBYqHNLe9P
It Doesn't Matter,Firefall,spotify:track:45RJYPoPtYMQmM42YVbYNW
Bad Weather,Marmalade,spotify:track:3dtg38mKaohjbkAzXPZqQy
Quick Silver,Tommy James,spotify:track:1s78RWKv752SlIIYldsqj3
Hop Hop,Placebo,spotify:track:7hxeTbvURo7h1b9fnzCvbl
Be Thankful For What You Got,Love,spotify:track:0Mm52YAVJcZSnpsN1YJwqu
Best Thing,Styx,spotify:track:70rLkkYqA02MZPsehqGsnw
When The Sun Shines,Pacific Gas & Electric,spotify:track:5bY54lK2F7KgNkBRnx6i4M
Shinin' On - Remastered 2002,Grand Funk Railroad,spotify:track:7fOclWmW04VUpP8kPx0rwY
Rusty Cloud,Sugarloaf,spotify:track:6UE02l2CxujgFvOEhVYUp1
It's Only Money,Thin Lizzy,spotify:track:51PL1ACfxtpfHtkm7XprSc
Don't Stop For Nothing,The 5th Dimension,spotify:track:2iy3XgzJWQTiPx8KNVUnss
Stone Flower,Santana,spotify:track:2JLcycFUYUaRm8tnHEBArh
It Ain't No Fun to Me,Al Green,spotify:track:6d7zB89d7CNhBqBhnm1evb
Get Up And Get Down,The Dramatics,spotify:track:6DJQhP9YVTwBB3Ixlq5aVN
Straight On,Heart,spotify:track:12ucCd1VANzNJSCMQ5UMvO
Make It,Aerosmith,spotify:track:1IkCG9jkzCrl3TadPTh4dU
So Fine,Electric Light Orchestra,spotify:track:1Qw1f7gBQkAc1tAlROyVgs
The Big Spell,Audience,spotify:track:1v2JV04W7JjA9SUdaRA1aq
River People - Live,Weather Report,spotify:track:6Qpn45a9XK8hHMPtXc06p1
Johnny The Fox Meets Jimmy The Weed,Thin Lizzy,spotify:track:7wOBhSl6apI6Jq3PoRD2Tv
Funny Feeling,The Delfonics,spotify:track:56QIqrLhxb9YiJ2q2UAT2O
The Answer,The Guess Who,spotify:track:0Dy499FfZubxINMzhN5vS5
Chanson,Art Farmer,spotify:track:6zSHjRauxTzsyqvwZdXaSP
Just for You,Peter Green,spotify:track:3ideOFeJoAq4d60mRAjDTI
Alice in My Fantasies,Funkadelic,spotify:track:3r6wk4sdZDe0dXElKAbtE2
Set Me Free,Sweet,spotify:track:7iWYgEFFarAhSroaWK6oKA
Black Maria,Todd Rundgren,spotify:track:2cQPn2UvmVPISIYyZf37ik
Steady Rollin' Man,Eric Clapton,spotify:track:5gAXmNS0r3nDYtxzXY8ftB
Mercury Blues,Steve Miller Band,spotify:track:6lb5d1r1QUeNb5UmM9V5nm
Marcella - Remastered 2000,The Beach Boys,spotify:track:6ntNjoeZpmP3qMEF3tAlkh
Wisdom,Seals and Crofts,spotify:track:3iMKXIV1ftdVM1pGGUSgKX
Get It Together,The Jackson 5,spotify:track:3EfbMcO1IKgofdn6dyHFd3
Yellow Sunshine,Yellow Sunshine,spotify:track:2caXfv2afFcYcNrf1mNnf5
Hideaway,Chicago,spotify:track:2hKYfqGiecqqaVV5Tx5jPA
The Changeling,The Doors,spotify:track:3uqxwLp7Hs9sJhm4uVF8li
Changin',Brass Construction,spotify:track:1YJHxl53keKuB8QywSlFhb
Love Will Find A Way,Pablo Cruise,spotify:track:2LqzuRukwnpeWYLXBtiwmq
Dreamer,Dennis Wilson,spotify:track:54WlKznadriUurqSZOoDZ2
Just Wanna Rock & Roll,38 Special,spotify:track:6ZGutI084kykhlyqMSHDCP
The Rapper,The Jaggerz,spotify:track:0s1PceKn7sF0Pc8bsnDN1t
Stroll On,The Gentrys,spotify:track:5njYglXW3hvttIx1naZD7Q
"Tighter, Tighter",Alive 'N Kickin',spotify:track:5OXATqrGVPG49BjEIY6yyM
Lady Genevieve,The Mamas & The Papas,spotify:track:3UsrbXONrnzGt3ouQtMqrj
Timothy,The Buoys,spotify:track:0oWaOtPDTqXlBMkOCCEt5E
Take Me Home,Paul Revere & The Raiders,spotify:track:3jYYZ9q5GlF2W84h0SWzdu
For Your Life - Remastered,Led Zeppelin,spotify:track:6ly5DBm7QhjU8RQWl2neJg
Just Seven Numbers (Can Straighten Out My Life),Four Tops,spotify:track:5uQGotQ1lAMdQa0gR4Y2Qv
Send My Lover Back,Black Heat,spotify:track:095zc9jfIAdmnNpXUq6leH
Buttercup,The Rascals,spotify:track:1kWsegL0TkAjk3l4c63ivH
Hold the Line,TOTO,spotify:track:4aVuWgvD0X63hcOCnZtNFA
Jefftown Creek,Head East,spotify:track:6XEs4vzudaUVed1nDs8fN2
It's About Time - Remastered 2009,The Beach Boys,spotify:track:1P1fdXPlrnznMLWJ0XaGDe
On Your Way Down - Remastered Version,Allen Toussaint,spotify:track:49v51q2pXJDSD4tKLplEaB
Crazy,999,spotify:track:7oo5POblxY2MuSBmBsDmek
Get Down To It,Humble Pie,spotify:track:0Byswn2MzjKrOiY62JBMZo
By-Tor And The Snow Dog,Rush,spotify:track:0hRJNNyjoIlRcrgYVypM2Y
You Stepped Into My Life,Bee Gees,spotify:track:51VbUJoYc1TX1e7GPcLhFQ
I See the Light - Remastered 1998,Hot Tuna,spotify:track:7cxYhQht9zxbkrRv4ZLlrE
Shadows And Echoes - Remastered,If,spotify:track:4UdMqJspcpr8oq0CgXq1cc
Freedom,Jimi Hendrix,spotify:track:7emVwhF4OMemAT65nbpuZO
Heart of the Sunrise - 2008 Remaster,Yes,spotify:track:6f5GVaxl1gQ7EGK9LEgKV4
Funky Music Sho Nuff Turns Me On,The Temptations,spotify:track:7lhLOs4HHiSN7q7LwATsSe
High C,Sparks,spotify:track:7v49xgL2HJKObFqIg9vA59
Long Gone,Snafu,spotify:track:3mACP0ZRCLwlUf924Cbrct
Ko Ko Blue,ZZ Top,spotify:track:019ZYSWnKXDFC0bcxfGxzT
It's Her Turn To Live,Smokey Robinson,spotify:track:2LGoZeAXCGO9cgg9pZeHEU
Fooled Again (I Don't Like It),Tom Petty and the Heartbreakers,spotify:track:4aMymVwENTzVqR9QxZZxCU
Kicks,Nazz,spotify:track:2xotNOgZVK2sgLcmRt7yB9
All I Wanna Do - Remastered 2009,The Beach Boys,spotify:track:7y9O8sJmuX7DvmyrR7h3PY
Sacrifice,Steve Miller Band,spotify:track:2tCXMtgSXmY9XLecBjmAu2
Poison,MC5,spotify:track:7uhtFFmS2WrzuvjgBO0Nfz
Gettin' Funkier All the Time,The Meters,spotify:track:5wf8aIKoqWXRtXRm4cnAhk
Burnin' Sky - 2017 Remaster,Bad Company,spotify:track:4bLDM6UFtlD2LrtTNiEKQq
Feel Flows - Remastered 2009,The Beach Boys,spotify:track:7lNATn8yN0Yjr4KOKDBdW6
Home At Last,Steely Dan,spotify:track:2beIrUqv4VIyqqYhnajOyT
Vehicle,The Ides Of March,spotify:track:6hnyQ0YpiO35rutiLLHLmr
"""T"" Stands For Trouble - Soundtrack Version",Marvin Gaye,spotify:track:6P0wCyEtBFcuB24Wyh3Oh8
Kung Fu,Curtis Mayfield,spotify:track:0WNXlCwsn9npUGGG45B2XA
Waiting for the Sun,The Doors,spotify:track:6KVM6U9Wcxgjh0jDjoRDgh
Killer Without A Cause,Thin Lizzy,spotify:track:3lRhs4XVb9BrQqGLbE0WdT
Gallows Pole - Remastered,Led Zeppelin,spotify:track:4S2QZuPFZ9qeHW2sonMJS1
Killing Yourself to Live - 2013 Remaster,Black Sabbath,spotify:track:387JMg7bz2JPHhLqXC1RBy
Too Bad - Full Version,Bad Company,spotify:track:54xTvkwKlqwk3BewigCuft
Right On,Marvin Gaye,spotify:track:5Yhh8Cfc1gp7oyqzL9T1H0
New Speedway Boogie - 2013 Remaster,Grateful Dead,spotify:track:3YPBV5DacTbhgh7vharn6w
And It Stoned Me - 2013 Remaster,Van Morrison,spotify:track:0pLt4z90EzbN7lY9lky1Z9
Midnite Cruiser,Steely Dan,spotify:track:3Hp7HkYTFxzMrTJdPXQJI6
Latin Music,Doug Clifford,spotify:track:7tn0AfbKhQdQfYINL9pjxV
Verdilac,The Doors,spotify:track:61dATjRNYvm5oUjdTsR1u8
Sunnyside,Muzak Orchestra,spotify:track:0WvdRoyTndVeyeBZmIm8YB
Ghost Ship,Jim Morrison,spotify:track:5XTdMVT5i5qcfyTXWxhxVZ
Tumblin' inn,Barnaby Bye,spotify:track:082WC6xCLFK38urtX3kVdq
Chameleon,Creedence Clearwater Revival,spotify:track:4alrdfgFxuEqSB42iCDUYO
Scatbird,Barry Miles,spotify:track:5ZnRXSyzcqiHO70bazv0HD
Let Us Go On This Way - Remastered 2000,The Beach Boys,spotify:track:3V9vm8RTgy2sBspBEg2eLF
No One to Depend On,Santana,spotify:track:3pPnys7mGV0DQkQoxmovXi
Destination,Felt,spotify:track:4hreuoKJi3sBdtQD3gfzh5
Free - 2002 Remaster,Chicago,spotify:track:3bWFEP259MczB9xcw33DTs
What a Shame,Fleetwood Mac,spotify:track:5wqtOvdY2hUQOkEMq33k1Y
Don't You Worry 'Bout A Thing,Stevie Wonder,spotify:track:1QvWxgZvTU0w8rlPRE5Zrv
I'll Bet You,Funkadelic,spotify:track:66PaibQv4qrsRTSWbyo5KO
Sheep,Pink Floyd,spotify:track:55e99bv2wlgTYtNEYHWtN1
Burn - 2002 Remaster,Deep Purple,spotify:track:5s8IEEjgCTrujK3aUalvfF
Bitter Creek - 2013 Remaster,Eagles,spotify:track:2h3bBo0QAPd3jbbAiqCdYZ
Almost Cut My Hair,"Crosby, Stills, Nash & Young",spotify:track:0gCJkpD0RhF2rjiALLHBQL
The Royal Scam,Steely Dan,spotify:track:2hYS79fHfVPgxb8PHFksHJ
Bubbles,The Free Design,spotify:track:5UYPuB1iptf71W5Q7CMkGZ
Run with the Pack - 2017 Remaster,Bad Company,spotify:track:6rYeY4ACgf3YffzKfuGDhR
The Great Escape,Atlanta Rhythm Section,spotify:track:0QMQQ1D0SMwy1DJTWnXcqd
River Song,Dennis Wilson,spotify:track:70Ao5L10SKV701DcOH68Jo
Magnet and Steel,Walter Egan,spotify:track:1Fk6KB9H0oZ2rYKFRDrhQm
