Inspector Gadget,The Kartoon Krew,spotify:track:05gNNySi0N20CpbNiYynCy
"Run, Run, Run",The Gestures,spotify:track:6TO29gYhF5EHRvYPgit3EI
Holier Than Thou,Metallica,spotify:track:1kaB0BvQEmwHeAzNh4jziT
Bluebell,Babes In ToylandÃÂ ,spotify:track:6GDzBDy7zHhRK1YIWmQnpe
Burden In My Hand,Soundgarden,spotify:track:1iArQTuOzxvrtniGmkyy92
Half,Soundgarden,spotify:track:7p58tSKtFGARyPOmjvv6wi
These Arms of Mine,Otis Redding,spotify:track:1PXMeiIRNZnj4jj77DPwKz
I've Been Thinking About You,Londonbeat,spotify:track:02KLiEs31kxh1krQJezlTL
This Is How We Do It,Montell Jordan,spotify:track:1yRBHnXfl6wjCnM6dYRXq0
Petrol,Ash,spotify:track:1ghYcDSNQofy8I5IjX0Eq4
"Single Life - 12"" Mix",Cameo,spotify:track:5sp7ZJNJmr4dVEX6Nacw2M
Wonderwall,Oasis,spotify:track:7JrUo70YjhU4S7flcJtK0k
Whatever Possessed You,Care,spotify:track:71j0wbUaWkGP0DuWp3nI7F
Life Styles,The Blackbyrds,spotify:track:4eOgdSrDZlIpfw3WuuclT7
Por Muchas Razones Te Quiero,Palito Ortega,spotify:track:7uSEht8p9wuXz7sQfUBU47
You Left The Water Running,Barbara Lynn,spotify:track:1ZTilWW9oKM0ej3kU5QAHc
I'm Ready For Love,Martha Reeves & The Vandellas,spotify:track:0eNAT4cgU1HC2J66q5rtn9
No Diggity,Blackstreet,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ
All This and Nothing,Sponge,spotify:track:7KWPPhZUGD2SFsDMs8ke37
With A Girl Like You,The Troggs,spotify:track:26RTO9YFd1sSjzQrfmhG5J
"Diamonds, Fur Coat, Champagne",Suicide,spotify:track:18npeTqIYdYU9At29c1VMJ
Give It to Me (If You Don't Mind),Conquest,spotify:track:3E6rKOZoThxYcypYW6XnKm
Napoleon,Alcohol Funnycar,spotify:track:15XNzLXFCqWvpM73Lfn63V
Not If You Were The Last Junkie On Earth,The Dandy Warhols,spotify:track:3M7bAbqHp8mfI3DsYADdcS
Hit And Run,The Bar-Kays,spotify:track:68oL33xGl9GsUhDSTCXCrD
Too Bad,The Bad Roads,spotify:track:2D3EyUGYsdvV7mcREEc5J7
Living In A Box,Living In A Box,spotify:track:05gzfo9KmIHvJoXchhLdkC
Toes Across The Floor,Blind Melon,spotify:track:3NfLSMOVWDKfYDE0WAm7uf
L'ÃÂ¢me des poÃÂ¨tes,Charles Trenet,spotify:track:67FiwcIh6TyjgA6Ji1LJf4
T-Electronique,Faust,spotify:track:7MlTxcQKSk74SPx7E7qQPU
We've Gotta Get Out of This Place,The Animals,spotify:track:6ZMBR8nPA10HTmbtIUXpO6
Lovesick Blues,Frank Ifield,spotify:track:2PWQbNVjTfZMk9KwY8cpxy
Piece Of My Heart,Janis Joplin,spotify:track:1eujVQsT9v7ZTtvAkTEdZr
Doin' Time - Uptown Dub-Album Version,Sublime,spotify:track:2WmnhtN4EqWsuwlMJLLHz8
Bony Moronie,The Creation,spotify:track:38ccACWqA4eOLswgv8nQS4
Whoever You Are,Geggy Tah,spotify:track:14XdJB1WfIFbH1Yh4mcxYu
Heaven - Heavy Club Mix,The Chimes,spotify:track:7FRowrgyGNx8ZBAhgEiLOd
Wandering Star,Portishead,spotify:track:7h14W1uQK7sjpVI1oVTobt
I Want Your Girlfriend to Be My Girlfriend Too,Reel Big Fish,spotify:track:6OLhtCi3RCxcLcc4bskinF
Temple of Love - Extended Version 1983,Sisters of Mercy,spotify:track:0cddvowG9DCT9VeZxRlPJm
Eulogy,TOOL,spotify:track:0RVFjx2HwbHcl5SCSADpFP
Everlong,Foo Fighters,spotify:track:53Hic0gf2TABaSEXXhSgij
Show Me,Glenn Jones,spotify:track:0uzurgoEhQ9MT1LevKAYg4
I've Got Your Number,Nancy Wilson,spotify:track:4INB2v0Jh09BEnRL0vmeII
"When You're Hot, You're Hot",Jerry Reed,spotify:track:6sykijVtS1m8vxLnkKXrJ5
Beer,Reel Big Fish,spotify:track:7qEm8Z4KFLdCMlv96KykVd
Do the Evolution,Pearl Jam,spotify:track:0dIipTYASaFwX1QxVrVFV7
Love How You Feel - Remix,Sharon Redd,spotify:track:0xvp7Mh8uCMeZprv5HilqY
Come And Get These Memories - Single Version / Mono,Martha Reeves & The Vandellas,spotify:track:786o2JYufcSlMb6LnFYGJg
The Good in Everyone,Sloan,spotify:track:20eg0KIEFJLEywzDYMfi2s
Summer Romance (Anti-Gravity Love Song),Incubus,spotify:track:3uNHNBnlfBtrOZ9NZx5b4V
Magic Carpet Ride,Steppenwolf,spotify:track:6qnhXRedMi71TBYRc9jm4o
Por Que Sera,Rudy La Scala,spotify:track:2zFhOgUTFiAupp71sFKm77
Saturn 5,Inspiral Carpets,spotify:track:7fmwCGS5Sj9mceTWlCUJMA
Alone + Easy Target,Foo Fighters,spotify:track:5XUpAb2zC8G404RPkwb09H
Thong Song,Sisqo,spotify:track:5Mmk2ii6laakqfeCT7OnVD
Teen Angst (What The World Needs Now),Cracker,spotify:track:21gRGP5LdIgto8sznRZ7xz
This Town,Green River,spotify:track:4Wj6GKn1vBHJ12ezWQubax
Don't Push Your Luck,Wally Jump Jr.,spotify:track:04cs67MT9msfmQDmhFaXN0
Project Blue,The Banshees,spotify:track:34XIVzrdgenM3cVCP9OV1k
I Got Rhythm,Bobby Darin,spotify:track:4mL2uEMWLGAbHD0PzAikNy
London Calling,The Clash,spotify:track:4LzsPH7Z8GqxeiAIUYKswd
Vacuum Cleaner,Tintern Abbey,spotify:track:1AOk8SIRVXiYip7rSmjp8m
Stone Love,Kool & The Gang,spotify:track:5kXdgcbbPz5goSG4nstBtZ
Tu Amante o Tu Enemigo,Miguel Gallardo,spotify:track:2xFcw6Oo4FsrO22fj1O8SA
Kinky Love,Pale Saints,spotify:track:3Uz3K1Ctq6MOIDqRddKHXo
Sugarcane,Wide Mouth Mason,spotify:track:1GL6Ssqbrw7Bp42FToSvx0
Wait and Bleed,Slipknot,spotify:track:15DLl1r2zi07Ssq5RT1yT0
Gooden's Corner,Grant Green,spotify:track:6kE2cZTzVbgVqHggrWsJsB
Too Bad,The Bad Roads,spotify:track:1ozum26YpXWDtzL5rt4GZg
Get It Right,Alcohol Funnycar,spotify:track:6la0ZQvHm5O2vJeypK1AKX
Big Area,Then Jerico,spotify:track:7KVvz57UFKtBghQgE7Ip8P
I Want To Thank You,Dr. Lonnie Smith,spotify:track:3WtHSWoWgPerfORejuBpsS
Feasting on the Blood of the Insane,Six Feet Under,spotify:track:53I5E1K1L0juUgg3LXZp7T
Nice & Slow,Usher,spotify:track:2KVVKbrg81ipix7moSsfzI
Ambitionz Az A Ridah,2Pac,spotify:track:3ssX20QT5c3nA9wk78V1LQ
Clock Street,Poster Children,spotify:track:2COjAthg1YAh86PE66Ovld
Do You Want to Know a Secret?,Billy J. Kramer,spotify:track:1Soa6kimbhHpUhKNXAAE6P
I Fought the Law - Single Version,The Bobby Fuller Four,spotify:track:6Um3XCAxl9YfFmAnGl93xc
This Is Mine - Filmix,Heaven 17,spotify:track:14agDsG2hUQJB36M6itI7H
Nobody's Fool (Live),Cinderella,spotify:track:6GCLkoKIWIx82anrMOwCHt
Caress Me Down,Sublime,spotify:track:0wWjWihr46S1gOB6KC2he3
Trouble In Paradise,Johnny Maestro,spotify:track:2i8XBhDLXf1MgmUPIPy9Dk
Fuck And Run,Liz Phair,spotify:track:6Em7i85XSDX3M2ZtKz1BIO
Good Enough,Mudhoney,spotify:track:26lgpX6SguLbcahokmPLTW
Yearning For Your Love,Guy,spotify:track:1KcxXt4Jy9Az9Wizs5Z6pF
20 Seconds to Comply,Silver Bullet,spotify:track:0iiLMZMIXcFzFmKwEXi7U4
Space Lord,Monster Magnet,spotify:track:3CQT1WcWe86brcWVMhgEYa
Straight Up And Down,The Brian Jonestown Massacre,spotify:track:3laqgmy8f1rG1UN65r0xQW
Give Back the Key to My Heart,The Texas Tornado,spotify:track:7E43EZNxDD6lAtrIjIGykh
Ecstasy,Madleen Kane,spotify:track:0ZPYbtBHIXDMX18ODGTTDu
Merry Go Round,The Monkees,spotify:track:6csR536Iz4FjRgN4SAtySf
Return of the Mack,Mark Morrison,spotify:track:3jDdpx9PMlfMBS5tOBHFm9
Tommy The Cat,Primus,spotify:track:0kquzTsZG4m9qmLJaPSY9U
Need You Around,Smoking Popes,spotify:track:0skxqaapKhdZ2BW5H1Umxh
Sex & Candy,Marcy Playground,spotify:track:669UUGJqllYeW8SoL7lxmB
More Than Words,Extreme,spotify:track:4npgZHPUKjWn6ipv6wl66Q
Porpoise Head,Porno for Pyros,spotify:track:30ZQFEGjLMaAIyQzbAvxnb
Make It Like It Was,Regina Belle,spotify:track:6PrRkwsUYxmCFnosNbthVN
Life Is But A Dream,The Harptones,spotify:track:6CJnPLGcsyFErEoJb6gHFK
Clean Shirt,Railroad Jerk,spotify:track:2N1UMIbI4o90oq5CN7nPKW
Doowutchyalike,Digital Underground,spotify:track:6DxYLuDG7QvbsqSK8DG9UI
Kashmir,London Philharmonic Orchestra,spotify:track:0RAAhCIiRbp9epfXITJQLv
Shadazz,Suicide,spotify:track:5smCjZPggHHWv0Llb5nGs8
Auslander,Living Colour,spotify:track:0XtTvPRz4OMPITP8zM9jim
Too Tight,Con Funk Shun,spotify:track:05NF1xc8Td6ASQvzd6z8RT
Cubically Contained,Headstones,spotify:track:2oG6gOatvVvQnTO9e0jp2t
Night Owl Blues,Flamin' Groovies,spotify:track:1pFI3QgIrJ1CUuo8ge4HG3
Twin Falls,Built To Spill,spotify:track:2YgYfrDOn9w6QwFGzNVJxB
"See You Later, Alligator",Bill Haley & His Comets,spotify:track:1s4hyUFWmLWiAamsclb4xA
I Don't Want To Grow Up,Ramones,spotify:track:6SYAkJQoasyrSvAj5abGDJ
Helpless,Sugar,spotify:track:2V6J6aswk9GVgtIkIAq41b
Alive,Pearl Jam,spotify:track:620RU5uoEFpfDxAXlnlCW8
Inch By Inch,The Strikers,spotify:track:2sBX9e6y1rIkLvVyvP7Hlx
Breathe Again,Toni Braxton,spotify:track:68ZD7M5tOBBM0N5XWRECoD
Tutti Frutti,Little Richard,spotify:track:2vXk7PcNLLXsdnVaoMxzTj
In The Still of the Night,The Five Satins,spotify:track:0GVvRmCoiLkhxJvlZy9bLk
Who's That Guy,The Kolettes,spotify:track:3SgH2Bd8dGMTdaRbEfw0mc
Freak On a Leash,Korn,spotify:track:7B9S4RiRczdw1B9ddjpFe8
Enter Sandman,Metallica,spotify:track:5sICkBXVmaCQk5aISGR3x1
Jacaranda,Luiz BonfÃÂ¡,spotify:track:1kZ1Zm6zFYxypwn4GVQz4S
We Got to Slip Around,Bettye LaVette,spotify:track:5ML8zAal94mua3oHUSYVwK
Baby What You Want Me To Do,Steve Aldo,spotify:track:2I5zbhOmlEMdaAJihFZUFT
Temptation,Slayer,spotify:track:3dXmyOIEHza2NatuY8DK6h
(He's) The Great Imposter,The Fleetwoods,spotify:track:5S96nzXyrDBAwDNfgUwvWW
Making Time,The Creation,spotify:track:5TysIim10uxdcYtUqftQlZ
What Is Love,Haddaway,spotify:track:2ahnofp2LbBWDXcJbMaSTu
Enter Sandman,Metallica,spotify:track:1hKdDCpiI9mqz1jVHRKG0E
On Bended Knee,Boyz II Men,spotify:track:4Gmkqn3V7IMTkOmmiX7cbb
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,spotify:track:6qB7YcFpeBEQa0D6QO482y
I Wasn't Meant to Feel This / Asleep At the Wheel,Suicidal Tendencies,spotify:track:6TJK3ZhUFHlhwuysbNayWT
Precision Auto,Superchunk,spotify:track:78V4r6d4p6GApUxN0F3Evm
This Song Is Just for You,Birth Control,spotify:track:2bikcfxUVD2BtW69N1kjru
Fungi Mama (Bebopafunkadiscolypso),Tom Browne,spotify:track:73JWSmA5EGjKULcYfeKX60
The Damned Don't Cry,Visage,spotify:track:7j33xvV0fOh1sV91AsCUbE
"Aquarius / Let the Sunshine In (The Flesh Failures) - From the American Tribal Love Rock Musical ""Hair""",The 5th Dimension,spotify:track:1pvpRD7hCI4tyine2VYGoG
The Odd Couple,Billy May & His Orchestra,spotify:track:09mhTDBTeHQIR7K305ciC6
Wednesday Addams' Boyfriend,Tall Boys,spotify:track:3lvolSxuJ7UYxCd2D9mUnJ
Someday,Sugar Ray,spotify:track:6zeDYmP3ARpURvpK29Q09P
Say Those Magic Words,The Birds,spotify:track:4fBmsJ55DyqxKm4VCBupcZ
The Prince,Metallica,spotify:track:0lFkFLtsUPSIXUNbX0ehNN
Everybody (Backstreet's Back) - Extended Version,Backstreet Boys,spotify:track:5WTxbyWTpoqhdxEN2szOnl
Je Cherche Un Homme,Eartha Kitt,spotify:track:3dlZQnkxnxZjTV860ixUHx
Pole Position,Folk Implosion,spotify:track:6Jx3dAS3fYgaIWpvql8eFZ
Hello Trouble,Buck Owens,spotify:track:6VeQUntNVQFfXjN94470on
Give And Take,Brass Construction,spotify:track:2RSbaCKRAjCDLQ1HlZ3Ped
Sexy Eyes - Single Version,Whigfield,spotify:track:10orskJZtW5o2OChflgwr1
I Second That Emotion,Smokey Robinson & The Miracles,spotify:track:6Hd8mrDwBQ8rLo70FwFG5C
Smells Like Teen Spirit,Nirvana,spotify:track:75aLTVBSGIquqzQ6AkmK3Q
Wham!,Lonnie Mack,spotify:track:5bl3qKqYDjmxC7N6EDEILU
The Girl Can't Dance,Bunker Hill,spotify:track:5Zu2DvfJXrOLSOTmJPyBmC
Rush,Big Audio Dynamite,spotify:track:4gTMIyJJlSuB5BOhbMri6B
Ain't Nothin But A Houseparty,The Showstoppers,spotify:track:64JXjk4JU0WG7BJwQTSga4
Money Don't Matter 2 Night,Prince,spotify:track:4TD2ZZETSh7OFOw1RTNPGb
I Close My Eyes And Count To Ten,Dusty Springfield,spotify:track:6HByQvIyI5vRnkp0vhgasR
Neighbourhood,Space,spotify:track:4pHPIxOJnGf0zwX5GCSVBW
Custom Caravan,The Pyramids,spotify:track:01po74l3hFGpTGPzYFVefA
You're Gonna Die,Destroy All Monsters,spotify:track:6McOy6dWlBROw3s5v5xmEm
I Second That Emotion,Smokey Robinson & The Miracles,spotify:track:0p005IFxS4eFfXNk0m7jjM
Jazzie's Groove - Piano Version,Soul II Soul,spotify:track:7cNtYcacepWrWsRTs3KYxR
Deep Inside of You - 2008 Version,Third Eye Blind,spotify:track:06iQLLK93Dlv7RcvzmZo2g
Zombie Stomp,Ozzy Osbourne,spotify:track:0tYkYX8YFWMO3C2JoC6JcD
Sure Shot,Tracy Weber,spotify:track:4G6XBtrPVr0zfknZhE82ap
You Were on My Mind,Crispian St. Peters,spotify:track:1MngsbGbiex1qG7zhmz7hd
Try Me,James Brown,spotify:track:31usEzDUXeGWAheRaCeEaD
CorazÃÂ³n Gitano,Nicola Di Bari,spotify:track:2Romw11EoDzDpg9lvRejU1
Freak of the Week,Marvelous 3,spotify:track:5eR2WL7ZHLpGv5PfFT9iEJ
Make It Easy On Yourself,Jerry Butler,spotify:track:7GFZ5xehLR65KbD9koUc4f
Be-Bop-A-Lula,Gene Vincent & His Blue Caps,spotify:track:287s80vbsW9ehK9M5fTwAo
QuiÃÂ©n Te CantarÃÂ¡?,Mocedades,spotify:track:2yeuNAxIcAx2tk9CLTFcsJ
Where Is the Love,Roberta Flack,spotify:track:7l07ak5IWpISBsrUtwj4O4
Mystic Brew,Ronnie Foster,spotify:track:3NQi07SXRVAjLTkxhOkk2N
In the Blood,Better Than Ezra,spotify:track:5NDEmY6IUl9fKEsZNcPKgo
Nothing Matters But The Fever,Sea Level,spotify:track:3xQ4OStEmzCdwge8dKiJqd
Gonna Get Along Without You Now,Skeeter Davis,spotify:track:6j13wUu2T40hhs4ihv17H5
Let's Get Away From It All,Della Reese,spotify:track:3uhAF1zrIppHp6s5zxvDL3
The Mighty Quinn - Mono Version,Manfred Mann,spotify:track:3S9szCYtfki2pmLJdR8PVs
Duel,Swervedriver,spotify:track:4wobMxirzXrxx4J3U3TL3X
The Sadness Of Sex (Part 1),The Orchids,spotify:track:6nvk4TifRfBxbUUfDEC0qK
Disappointment,The Cranberries,spotify:track:0YK7uBYSa7ereS84nm9ElY
Imposters of Life's Magazine,The Idle Race,spotify:track:5pdeZYqVRS0ptLxRYnfYh4
Blue Moon Rising,Gomez,spotify:track:1eN9PyijULNGfgNeyE4kvb
Brimful of Asha,Cornershop,spotify:track:1t6tQ0ETeOIDl5cscjEC55
The Impression That I Get,The Mighty Mighty Bosstones,spotify:track:1ru5R5iSawvuMELqKXxLjS
I Don't Want to Change the World,Ozzy Osbourne,spotify:track:4dwRny1mJtE5GYuASzQSUf
Wrong Way,Sublime,spotify:track:1kWja6NVaLZThMop9MYVDz
Creep,Stone Temple Pilots,spotify:track:0elH6ukMGLyCHJavHutEza
Put A Little Love In Your Heart,Jackie DeShannon,spotify:track:1fQn0TtyvkS6PjdVOitG4p
Push,Matchbox Twenty,spotify:track:2KVwlelhxKUy8LVV6JypH3
Welcome To The Pleasuredome - Pleasurefix Mix,Frankie Goes To Hollywood,spotify:track:3cFREflP5vEvSW8ywctn0B
(Get Your Kicks On) Route 66,Nat King Cole,spotify:track:6AlmudWNrmyqohVSV7Vgib
Saints,The Breeders,spotify:track:260hSlqGqp5p4eewkuagRq
One,Creed,spotify:track:35GwlKlVXgFCMF5uTp5r7P
I Couldn't Care Less,The Untamed Youth,spotify:track:18NQvzHL64KbzTaCfWw6n4
Come Together,Spiritualized,spotify:track:7qSKmfnNq4PINemq8vFHp1
Who Put the Bomp (In the Bomp Bomp Bomp),Frankie Lymon & The Teenagers,spotify:track:4oxmCxDlcmFQi0PFwLyrB7
J'aime les filles,Jacques Dutronc,spotify:track:5dg1C0ZZ87QL4dZCfPI2z1
Again and Again,The Iguanas,spotify:track:4R1GCx6TIDJJZPAQuxOnyc
Easy,Faith No More,spotify:track:4zzvMG8KrsykYtvFEJ99Cl
Back Together Again (feat. Donny Hathaway),Roberta Flack,spotify:track:065o5Vhiq7Dx6JXF0e33S8
Love Comes Quickly - Shep Pettibone's Disco Mix,Pet Shop Boys,spotify:track:7afWdjhZ1ajtG42bf81Y4X
Volcano Girls,Veruca Salt,spotify:track:3cMliO9emUSa4d1Ap2MbfW
I've Waited Much Too Long,Dianne Marie,spotify:track:0pD8m8K6He5I3EceLJWdcN
Can't Get Enough Of You Baby,Smash Mouth,spotify:track:0UVIXwqfTjefBbDyY60MWB
"Baby, I Love Your Way",Big Mountain,spotify:track:1Rvl8qsKJurfFTyWLBI9ib
Layla,Eric Clapton,spotify:track:4fvTMIZhXaaLokgmo4uMqF
The Truth Is Not Real,Sagittarius,spotify:track:1pZEVDshc90JvKi2M84SJs
Are You Still in Love with Me,Keith Washington,spotify:track:1UMbvGlLxBZp2WZOi9TwgF
Hand in My Pocket,Alanis Morissette,spotify:track:3ArPxT1Wt0Yse6kBeCqGFe
Sarah Sitting,Swirlies,spotify:track:4PwvnQvX4xBOQJkyh6tf7X
High Speed Changer,Orange 9mm,spotify:track:2G04oa0siKhI9Q9O1QOMbA
Loss Leader,Codeine,spotify:track:02t4JM2p402XQdKhBniVCU
Mad About You,Belinda Carlisle,spotify:track:6v9oV4RpWKJ5qbpAZqKqtZ
Bloos,Duke Pearson,spotify:track:2O8VN52UuscIUUgfcuInDf
The Dragons' Flight Across The Waves,Amon Amarth,spotify:track:5bj5Nqllm7WhFPQ18yQX65
Spotlight,Stacey Lattisaw,spotify:track:0IBu8sSj6V9yPUTwu13wgY
Motor Away,Guided By Voices,spotify:track:7rmDo3hoF6c9jzL8ZGHykr
"Funky Pullett - Live At The It Club, Los Angeles, CA/1970",Gene Harris & The Three Sounds,spotify:track:2bZE4AfbPLP3GzyEqfE8wc
Hellraiser,Ozzy Osbourne,spotify:track:4nvYDy427VvA1TcEkdgZII
Stagger Lee,Lloyd Price,spotify:track:4MUGG9mgDUP8dlaS3AAeg0
Laisse tomber les filles,April March,spotify:track:1QQkzqBSPfoneeOII3KauS
Stella By Starlight,Grant Green,spotify:track:4O4gPHr4q2gT7d5umAjwGk
Hold Tight,Gino Soccio,spotify:track:26kBtkZT0CAFLn7J0mLkNa
Movin' On,Carolyn Harding,spotify:track:0oTvUfW5H2iiTd01gFBijt
Glycerine,Bush,spotify:track:19sHnxkLSuMjCfKSvdhS1c
A Certain Shade of Green,Incubus,spotify:track:6zU4ims9oVbprKkjpdGD5c
Do Your Duty,Bettye LaVette,spotify:track:3A1usHO2sUnARhY3n1m3AF
On Green Dolphin Street,Grant Green,spotify:track:6gqpJqDXHqu5KyLNKB3isv
Resurrection,Moist,spotify:track:6wYhV6cdyyEGjDbOEp7KNY
When You Ask About Love,Billy J. Kramer,spotify:track:5v0NcJ5J5Qiu4S2OcZzxyA
Legend of a Cowgirl,Imani Coppola,spotify:track:5NNGO1dOEpwDdkbTfw0ErB
Walk on By,Sybil,spotify:track:2FDIwfqSI44hVE9D6RmLQQ
No Friend of Mine,Bob Hocko,spotify:track:6Fw5VIq9TFu9P9Utmmjuc4
Willy the Wandering Gypsy and Me,Billy Joe Shaver,spotify:track:3VpO5EiRR22vBKJwTHIBMp
Roll Back The Meaning,Donald Fagen And Walter Becker,spotify:track:7sZ0aGhmWNbAMjsnUwbrZp
The Millionaire,Billy J. Kramer,spotify:track:1rInMdH9YW6kJQU1fLceAK
You're No Good,The Swinging Blue Jeans,spotify:track:2jgLYuuZkTYzH6VgEG9noN
Crazy,Aerosmith,spotify:track:74irxdVWstNlEQjsvArITq
King Of The Road - Re-Recorded In Stereo,Roger Miller,spotify:track:36Ew5C2l5r1GAZifRhp4YG
People,Silver Jews,spotify:track:6XsUPMoCyKYjUFD0ak09xb
Gonna Make You,The Troggs,spotify:track:6Myz7niPRTII2eXaa27T5N
FM,Steely Dan,spotify:track:4q1svnkWLvkHfceES1M7ya
The Other Place,The Seeds,spotify:track:5M12ORygcDzc4vgpdtVvsf
For the Love of God,Steve Vai,spotify:track:5m5I3KcV83zf2p2qbsnr3y
We've Gotta Get Out of This Place,The Animals,spotify:track:48t1ooCntbAzQW4HVGofkc
Radio,Rancid,spotify:track:6tlRgNME7ULlY5OcvRdgYn
Dissidents (The Search For Truth Part 1),Thomas Dolby,spotify:track:3jEDloe4GAR2rYZ8MTExeL
Once,Pearl Jam,spotify:track:4nRyBgsqXEP2oPfzaMeZr7
Wild Thing,The Troggs,spotify:track:2cM6hAcaR3zsh2oYYV2MWU
Human Interest,Drive Like Jehu,spotify:track:6UPSQEjfyJZH15stpfqmKW
Sell Out,Reel Big Fish,spotify:track:6SJ1hWFVBIiUgGgHKvwXCQ
Back for Good - Radio Mix,Take That,spotify:track:24fQpRwKFkC3Fe8QtvvrNw
If You Were Here,Thompson Twins,spotify:track:7q4woYj5egnMVWOJWUDHPs
Silly Wasn't I,Cilla Black,spotify:track:0UxfLmyea1fjoUdH1N1sQx
"Shook Ones, Pt. II",Mobb Deep,spotify:track:33ZXjLCpiINn8eQIDYEPTD
I Can't Stand It,Dr. Lonnie Smith,spotify:track:0nkL1ZQc2KkRxdLW7xQaRh
Voodoo Child (Slight Return),Jimi Hendrix,spotify:track:6d3I7THB2bONUkxOo1DvmZ
The Escapades Of Futura 2000,Futura 2000,spotify:track:0R7h0gRRBzibTX2bCndT8L
Not Guilty - Anthology 3 Version,The Beatles,spotify:track:39QrPQjBJKKw3KPy6sUrCM
Gentleman Who Fell,Milla Jovovich,spotify:track:4QBXqMZxUdjxtfBZTfSvvT
Heal Yourself And Move,Theo Parrish,spotify:track:5q71tXlqJa5PrNFLT6bBWM
One Night,Elvis Presley,spotify:track:0gbe2ixID2kWDPMfJ1QPgX
Hold Me Up,Velvet Crush,spotify:track:7DfIDN6rPq46vu648YhlT6
Stoned,Smash Mouth,spotify:track:7bFstEkOysInloEcaHzMUM
Tilted,Sugar,spotify:track:5gVgiEacMk5O5YERzgVywB
Spoonman,Soundgarden,spotify:track:3czHCIPtkuw2TFk1SOOQkC
It's A Pleasure,Sheree Brown,spotify:track:7xneyw0Gk7iRErb4yWQyL9
Break It To Me Gently,Brenda Lee,spotify:track:5sLqvAHkzxF6WKmLg7ML5U
