HÃÂÃÂ©roe de leyenda,Heroes Del Silencio,spotify:track:6pAvXn45z0sktftypuEEzt
Mexican Radio,Wall Of Voodoo,spotify:track:7dOZxMY4U4YZ3eFwOTABXK
Go on Without You,Shirley Murdock,spotify:track:6a96JOJFDiPx9BV3Wjkl2P
Can You Party (Club Mix),Royal House,spotify:track:6TeKFnwaPsXI35gaQEoR8z
Beds Are Burning - Remastered,Midnight Oil,spotify:track:7A7lXlL7xDmjGF5SB6S7JS
(You're My One And Only) True Love,Seduction,spotify:track:0symbiCfmFvJDJgR6y8gkf
You're Crazy,Guns N' Roses,spotify:track:0GQuzKlkH0otZ01oMFzsSu
All That Ever Mattered,Orange Juice,spotify:track:3MGh5Q0Jox9ENCSUkvU6G4
Broken Heart,Red Flag,spotify:track:12KKpIDGPgbQkiO2POMFeU
The Other Side of You,The Mighty Lemon Drops,spotify:track:435zxxDx7TdcqLrNF2Mked
Manic Monday - Extended Remix,The Bangles,spotify:track:3JWumPw9b9Y9H0F0ox8KXM
Computer Cowboy,Neil Young,spotify:track:0nr5qHPzxBMm3KoJ4d8msk
Carnation,The Jam,spotify:track:73AdxKbsjrVUzt7q4RVuEN
Seek & Destroy (Remastered),Metallica,spotify:track:5DrNFzZZZVfXaEZCaceKnp
De Mi Enamorate,Daniela Romo,spotify:track:2YpdOz01cVBMRfhdAELdLi
Raining Blood,Slayer,spotify:track:4fiOTntQKr24p07FvQDHZE
Hold On Loosely,38 Special,spotify:track:6i9dZZQWNB06HKsQYKTiPF
Disappointed,Public Image Ltd.,spotify:track:74xJqwvIRaxQWuDkINtsbV
Pretty Girls Make Graves - 2011 Remaster,The Smiths,spotify:track:3wUMcPzXcmaeW8QxTdyXQO
One More Time - 2006 Remaster,The Cure,spotify:track:0TDkinXBwm9P5QDIGdkZX8
Nightline,Randy Crawford,spotify:track:1DtL6RDXZcsnL4R0x7mmFa
Costumbres,RocÃÂÃÂ­o DÃÂÃÂºrcal,spotify:track:28ANj8vuad6phtclxhmPYO
Our Lips Are Sealed,Fun Boy Three,spotify:track:3esMC1VOZCE95cvC6jMW2f
The Cutter,Echo & the Bunnymen,spotify:track:617ahruubznvqzv7Nas3QX
Can You Handle It - Mastermix,Sharon Redd,spotify:track:5sqzVf1cK5GrekvfvrrnVu
Sugar Frosted Lover,Flakes,spotify:track:4FlbHVu20G4qzZ5y7MwaAa
Drama!,Erasure,spotify:track:4qoD4lYwhiWHO6wPbcVLHi
I've Got My Second Wind,Al Johnson,spotify:track:2xx8kayMlVjeGMIco8cPwi
It's My Thing,EPMD,spotify:track:5ZCwcakrizrfXEYykEPwfS
"Super Freak - 12"" Version",Rick James,spotify:track:3LWnuzqLpB4fVEYh8dHZhH
Love Is A Stranger - Remastered Version,Eurythmics,spotify:track:2jItmTTkIL6SkvABXsTaYT
Turn Your Back on Me - Extended Mix,Kajagoogoo,spotify:track:4LRwNbgbd6DusUfOWREM9G
Yaya,Ron Rogers,spotify:track:276XCIujSoTRoYFPbHD7SR
Steal Your Face,MotÃÂÃÂ¶rhead,spotify:track:0KtRPsktzLGSKtTII5H56Q
Vamos (Surfer Rosa),Pixies,spotify:track:6ShMtou6pfX6E18iqsBAc7
I Hate Myself for Loving You,Joan Jett & The Blackhearts,spotify:track:2HXixVqzzm9rEUIMAWzshl
Laughing,The Stranglers,spotify:track:0tnqN3bYMEEVlI1Xzx0IAv
Let's Groove,"Earth, Wind & Fire",spotify:track:3koCCeSaVUyrRo3N2gHrd8
Freemason (You Broke The Promise) - Shakedown Mix,Boxcar,spotify:track:6kGnlFJBn900JZrEuUAI0V
I Can't Wait,Stevie Nicks,spotify:track:0p4b7LieKeph1CqJhxkTMC
Clouds,The Go-Betweens,spotify:track:1R88FhwibdF91FZ6Geh7SM
You Know the Rest,'Til Tuesday,spotify:track:6NYLA2KwGP6vyUqzBsZqzt
Sola Con Mi Soledad,Marisela,spotify:track:1DocEW5Vym3fuAHkWN81LE
Object of My Desire,Starpoint,spotify:track:63Ql2zSLiBryLRPihaUToK
Pretending To Be Drunk,Sparks,spotify:track:0CKhCVSc1nrH3NpA31jxZQ
I Second That Emotion (Hype House),10dB,spotify:track:1p0KgcVYnlhtqvutCFoqQP
Too Late Too Late,MotÃÂÃÂ¶rhead,spotify:track:5g07vnV7pjEVBc1AHr70sQ
You Gotta Say Yes To Another Excess - Club Mix / Remastered 2005,Yello,spotify:track:134kMirt3lYmcCYkKTnRnP
Coming to You Live,Charles Earland,spotify:track:0fe8ABoiVGgW0OUxzJWmNb
Got To Be Enough,Con Funk Shun,spotify:track:06gdW8ZpwkZLUgpJWkgzFL
Slippery People - 2005 Remaster,Talking Heads,spotify:track:4M4xrAyXs4f7IW9IgIldJz
What Kind Of Love Is This,Streetheart,spotify:track:3KhBlMuqdRAbBFli89ZNxi
Is It A Dream,The Damned,spotify:track:0VBqWL217WJouUfSAPU2Pv
This Time I Know It's for Real,Donna Summer,spotify:track:47XPUkAsZjZ96UzaYO7sEC
Amor de verano,Duo Dinamico,spotify:track:2hOdoS6Y69GD5BR1s8FD5C
I Just Can't Help Believing - Summer Mix,Boys Town Gang,spotify:track:38QbLe5t106Orpe4VZWmHp
Flowers,Zaine Griff,spotify:track:4x7tmE0KusPCoy7FKtEA40
The Pan Within - 2004 Remastered Version,The Waterboys,spotify:track:1uer5KyFRaAHW80TuIpgPI
Mother,Danzig,spotify:track:5JtuIHVfsYBFAVrHwjUddj
Shout At The Devil,MÃÂÃÂ¶tley CrÃÂÃÂ¼e,spotify:track:1hqrYSqvNc9x3BETX1cZhk
"C'mon! C'mon! - 12"" Version",Bronski Beat,spotify:track:4PtYnLjYyzAq6viMjO6aQH
I Fall To Pieces - Single Version,Patsy Cline,spotify:track:21mFXNIvNkAz6ztV7EW7Du
Street Dance - Original Version 1984,Break Machine,spotify:track:41bTpvSwi26sD79ZgaCztE
Main Thing - Club Vocal,S-Hot,spotify:track:7Eg7PNFqc93TP8HfEQJzHG
Let It Be With You - 12'' Version,Belouis Some,spotify:track:3z2lHrAvhWbBndOvPCE23T
Dancing into the Stars,Logg,spotify:track:1uAijxIKOQVllUhlbEVku4
(Feels Like) Heaven - Extended Version,Fiction Factory,spotify:track:50kgjZ4j4Qqcl72ZgT3XDF
String,Frazier Chorus,spotify:track:2IP7pybWxoOVBKqGpptwgy
"Going Back to My Roots - 12"" Version",Odyssey,spotify:track:41Mi2vvuSD01FvtlAQsaat
Drop That Ghetto Blaster! - Club Mix,Mr Big Mouse,spotify:track:0V4eWg7CcjwyEmE715i37M
Looking Glass Girl - Remastered,The Glove,spotify:track:7pVbgvuusyy8qKSsqlLHEA
Maneater,Daryl Hall & John Oates,spotify:track:4aKIs5t9TqP59btlCGPrgw
Arc-lite (Sonar),Loop,spotify:track:6grYlWHRDdiqa4HsLIruhi
Love Buzz - Richie Revera Mix,Voggue,spotify:track:0zZSXnbytAy0laJzMsWbr9
A Love Supreme - Extended Vocal Remix,Will Downing,spotify:track:6LHlG6ZJ48tS75BcYbeWWO
Ceremony,New Order,spotify:track:0rv3Arvtn8JS9kyGFjfLtT
I Want To Hold Your Hand - Remastered,The Beatles,spotify:track:3JueJBdcGQaEAaWqPamsQt
Bounce Your Body To The Box - Power Hit Extended Mix,Reese & Santonio,spotify:track:5AKLbF5jZkBJR1yeBchuAa
Property - Def B4 Dishonour Mix,Blue Mercedes,spotify:track:2EQjroC9BUXvO99z4fX4e2
Battery,Metallica,spotify:track:4A1jq5W97gi5ok44CgZiab
Something Good - Remix,Paul Haig,spotify:track:2CQqSLKb0lSFY9Arq8YoW7
First True Love Affair - Larry Levan Remix,Jimmy Ross,spotify:track:7joFZr4bgXEGyKOqswLpGd
"Disco Kicks - 12"" Remix Version",Boys Town Gang,spotify:track:2uJ1HDGZUyDZi6ydENEZ1d
The Sun Always Shines on T.V. - Extended Version #2; 2015 Remaster,a-ha,spotify:track:1S34e3RmdM9K7FUbnX3O9H
Hawaiian Sophie,Jaz-O,spotify:track:1W1DgQEAEeCS7pGeWzzDFO
I'm So Hot,Denise LaSalle,spotify:track:4dHc02hiFKJwDPIDkYOan9
La Gata Bajo la Lluvia,RocÃÂÃÂ­o DÃÂÃÂºrcal,spotify:track:2kfSFdq2h0xLXq01em1zc7
I (Who Have Nothing),Shirley Bassey,spotify:track:71BaSbtrr3wHBePBVrb1jd
Youth of America,Wipers,spotify:track:2Dj59k8Rar55hTbzwCt2bK
Kidney Bingos,Wire,spotify:track:5J3vglsRGr9RVxtqFQJDYq
Caribou,Pixies,spotify:track:7noFstGWAG1n002hb6VKsY
Nobody's Fool,Cinderella,spotify:track:01Q4wU19hamqnhNjtuvTyI
Keep It in the Family,Deodato,spotify:track:674Mdi18c6WEnH2EsDwz9V
Easy Money,Dee Dee Sharp Gamble,spotify:track:032fYbgiB2cKwcr53n9mkk
Freaky Dancin',Cameo,spotify:track:78mi0Ecvr92ZTn9pBPPg9S
Satisfaction,Laura Branigan,spotify:track:7twfQ9tExZor0CaC3FogKj
8:15 to Nowhere / Great Balls of Fire,Vicious Pink,spotify:track:1HcmupZK2O8yPvjijkas3G
The Light Is Always Green,The Housemartins,spotify:track:0xs3QgZkE5za2MfugDcjd9
All Night Thing,Invisible Man's Band,spotify:track:0SWIwGe12CPw3QV8hB9EPa
"Why - 12"" Version",Carly Simon,spotify:track:3hI05NM8JnJvQLZMUnRvMa
The Age Of Self,Robert Wyatt,spotify:track:0p48pOhJyjCOkfZIdNWe9Z
"I Need You - 12"" Version",The Pointer Sisters,spotify:track:2D4kdEHxYNKdcPJgq8vauH
The Edge of Forever,The Dream Academy,spotify:track:0ZljhJQbm611zf5ttHz43n
Tainted Love,Soft Cell,spotify:track:44hOGg1uFg1XJZGZYNwYmM
"European Son - John Punter 12"" Mix",Japan,spotify:track:5CDt9sAfq0EVpqz9ZTdzUe
Aces High - 1998 Remastered Version,Iron Maiden,spotify:track:5uCo2wbScW9f1BnknpYYCi
You Never Knew Me - Remastered 2007,Magazine,spotify:track:5pHbM0btMx4xNpoIafOFcB
Tell It to My Heart - Club Mix,Taylor Dayne,spotify:track:6aKSXaRGkwlNVRL8aA8H1F
Life On The Line - Version IV,Fad Gadget,spotify:track:7GQ7DNugX0Z4G2oKTjZ1hd
Schemer-Dreamer/That's All Right,Steve Walsh,spotify:track:4fFaoJglX9wjoj2jnEdVo6
Open Your Heart,Madonna,spotify:track:6poribUG9PSY1eudyCjJTS
Weight Of The World,Erasure,spotify:track:31VFF6okCYEo1TYqkI4sgO
Graveyard,Butthole Surfers,spotify:track:7cUOoD1AQUpMw93PhPD9D7
Lorelei,Cocteau Twins,spotify:track:1MwGbyzRmPXWABLIdW8tzG
No Milk Today,Herman's Hermits,spotify:track:7tZkXnCZ6sXz0JQpApRLD6
You Meet My Approval - 2006 Remaster,Steve Arrington's Hall Of Fame,spotify:track:5AJRypnaj97aepRoLRPSQl
Fast as a Shark,Accept,spotify:track:204523f9MSgEfc0oDJycNS
Just Wanna Dance (Club Mix),The Todd Terry Project,spotify:track:4wSqXizXLbrowfcSIZ3Zus
One,Metallica,spotify:track:0kUBk3PnCat4oPvTlNsStp
WORLDS APART,Cactus World News,spotify:track:1ZxMMrPmwltR0vQx8A28nn
Electricity - 2003 Digital Remaster,Orchestral Manoeuvres In The Dark,spotify:track:60TmG8cFPMBo7kTTFOLiAB
Unsatisfied,The Replacements,spotify:track:4QuYdbaC0j3lzmt5hLgMjj
Arts in D Minor / Harry Houdini,Kon Kan,spotify:track:1hyAtP7dxArqkWhPeJUlQS
Travel Time,Crispy Ambulance,spotify:track:4w2byESQENURn67oWTx2bA
Master Of Puppets,Metallica,spotify:track:2MuWTIM3b0YEAskbeeFE1i
Sidewalking - Extended Version,The Jesus and Mary Chain,spotify:track:5aGiDkZ0bjNBCWMy4Rlwgm
South Of Heaven,Slayer,spotify:track:1f2nJKg780VxYIveVq6Xej
If Heaven Ain't A Lot Like Dixie,"Hank Williams, Jr.",spotify:track:2VV9KHwOfrS7ZOEzPZJFLJ
My Prerogative - Extended Remix,Bobby Brown,spotify:track:2aTWSAu6oebZoGZcC56p2H
You Make Me Feel (Mighty Real),Sylvester,spotify:track:68oPWciPnkCZBNbq0HfFJE
Fire of Unknown Origin,Blue ÃÂÃÂyster Cult,spotify:track:3OXc6xDxasnl4uj2jl1q4Y
Ashes and Diamonds,Zaine Griff,spotify:track:1COyQLPy8uyfihEFyPGHqL
She Loves Me,Stephen Duffy,spotify:track:6mewHXTr2BD519aQIobOVh
Town Called Malice,The Jam,spotify:track:6sX5sm1wrYYV6ooAirEXAa
The Chase,Propaganda,spotify:track:085c6xeVvImZ1HYJ3C7g08
Beds Are Burning - Remastered,Midnight Oil,spotify:track:1CtAzw53AIXKjAemxy4b1j
Listen To The Radio,Pukka Orchestra,spotify:track:316xtj9humQYX5bmqo2SOE
Changes,Imagination,spotify:track:3g2yNA8qcKj69yb1kEFVwh
Would I Lie to You? - ET Mix,Eurythmics,spotify:track:4Vfr9DYxNR07qRiJMnSULc
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,spotify:track:1TfqLAPs4K3s2rJMoCokcS
Pet Sematary,Ramones,spotify:track:2PN0JeaGtkHrlcmwZFWzBM
"Crazy - 12"" Mix",ICEHOUSE,spotify:track:0VyGGyyqIK47idIx3EY7u5
Supersonic - Flim Flam Remix,J.J. Fad,spotify:track:3ZjSmBuPkKjtsnIiNwOpyp
I Don't Want To Lose Your Love,Freddie Jackson,spotify:track:5U3cVz3ubQCd7OZVR8PVHS
Love Is All That Matters - Extended Version,The Human League,spotify:track:7gmrNE7Q0VdyfKpMcYJfla
Going Home - Remix Dub Version,Patrick Cowley,spotify:track:2Ohs3VHZQTHd9WFYmgDwLM
Pull Up To The Bumper,Grace Jones,spotify:track:28aRF5Qb0TBKFFa0KIsufd
Piano In The Dark,Brenda Russell,spotify:track:70RPjUR5l0jmBQndfNXP0z
Rain In The Summertime [Thunder Mix],The Alarm,spotify:track:6IQCWfJs2kK1KI3rKRhW13
Nothing Bad Ever Happens To Me,Oingo Boingo,spotify:track:26ATvoM8ULeJXHdzsvIAxS
Sub-culture - 2015 Remaster,New Order,spotify:track:6MfyyQoLMjlA6ptLb6OAje
Living Room,Frazier Chorus,spotify:track:0HPfYs1CegZCYr9KBC87QC
Lightning Strikes,Ozzy Osbourne,spotify:track:5zlrcW41p130s2MVQY7ZTe
Analisi scientifiche,Giuliano Sorgini,spotify:track:6vN0AqD9Zk4uolNlCRufxQ
Woman of the World - Long Instrumental Version,Double,spotify:track:6v8GMlArKwUBnj1nb00eym
I Sweat (Going Through the Motions) - Dance Remix,Nona Hendryx,spotify:track:6uTPLirAD9UIo0S4QGhxTu
Everybody Wants To Rule The World - Extended Version,Tears For Fears,spotify:track:7uBdncahX0bULWkpaDax8y
Love My Way,The Psychedelic Furs,spotify:track:4dk40nfaQav6b4ZsJ9OYUo
Underground - Extended Dance Mix,David Bowie,spotify:track:4KrsSjoMWDxdxRjGGqkpdX
Eaten Alive - Hot Extended Dance Mix,Diana Ross,spotify:track:18BdQo59KpbGqYmF5xhXpw
This Isn't Real,Ultra Vivid Scene,spotify:track:366ubTibCWjepd2JtYU8aZ
Out of Hand - Extended Version,The Mighty Lemon Drops,spotify:track:4zKB8UMaaAKIJ5EAiRG1uB
You Couldn't Get Arrested,Green On Red,spotify:track:6QgNw4CNEN6Y1RfjMBlVhk
Heart And Soul - Dance Mix / 4 Twelve Mix,T'Pau,spotify:track:51EMGDiFNOBfOGPDkZWoWo
What Presence?!,Orange Juice,spotify:track:6X542A49pirp8Y511KDH6y
Suedehead - 2011 Remaster,Morrissey,spotify:track:76HJoPhDFxD7rizsbCmZND
Maps And Legends,R.E.M.,spotify:track:3V0oy6kmhmE376ayQFRyHS
Love Removal Machine,The Cult,spotify:track:3w6URtAxoSs2JAw9PvYhbH
I've Got a Friend,Minor Detail,spotify:track:2TDbI4ZStoxqDqYkz5wCv8
Into the Groove,Madonna,spotify:track:6Ei6QAnG87QHLRe0Nqgqy2
Night Cruiser,Deodato,spotify:track:4fSiK9esmvmDCpulQRdYDV
High Cost of Living,Carol Jiani,spotify:track:6Ows4WYxv4B95I2xcnFz1N
"I Know You, I Live You",Chaka Khan,spotify:track:0W8MpnhaImy0oPRkVpRvjI
One Step Closer to Your Love - Extended Version,Starpoint,spotify:track:43lBmrwONPoDdZhaSCDmOC
The First Step,Fiction Factory,spotify:track:3HXO9n7TU1nVhpoq3O6Z06
Searching,Change,spotify:track:27MdefmKyCpfro5pwnj0Ne
Calendar Girl,Neil Sedaka,spotify:track:07IBuRx9So9Vo6Q0zfEnsE
Scotty's Lament,The Connells,spotify:track:0zQgAGkxkAXj3VCvtLirJy
Gist,Algebra Suicide,spotify:track:5rWXGHF78d3yBILYKHcUmn
Como Tu Mujer,RocÃÂÃÂ­o DÃÂÃÂºrcal,spotify:track:2bRXTSQTLX4kFMdoSZq9gw
Black Cars - Extended Version,Gino Vannelli,spotify:track:7E4tZ7r0LuqhMfl0PzZ4c6
Send My Heart,The Adventures,spotify:track:2XwOZSUbom1TBvP5E1NUDI
We'll Be Together,Sting,spotify:track:4wBls5EkreWBeADdiavNp6
Once in a Lifetime - 2005 Remaster,Talking Heads,spotify:track:38Ngied9rBORlAbLYNCl4k
Do You Wanna Funk?,Patrick Cowley,spotify:track:7u1FUecu9iOM7AkEUHz1ce
Party All the Time,Eddie Murphy,spotify:track:6N5DRCQUSXT1qQqmqsO92B
Shake Your Rump,Beastie Boys,spotify:track:2qq0RYYIuQxXcOxQKN0drC
"Sea, Swallow Me",Cocteau Twins,spotify:track:0EtYctBNJJ4IMNR7skKfm3
Out of Sync,DEVO,spotify:track:0VfoZk6ipvpNj49I4iwtmi
Follow Your Bliss,The B-52's,spotify:track:2R8mKce5ZtWMKSG91tbO26
Defender,Manowar,spotify:track:1OSlCffv0qIAhgtPJsH9UW
Christine,The House of Love,spotify:track:768hALxoNaIj1R01VHyg5z
Rock the Casbah - Remastered,The Clash,spotify:track:56KqaFSGTb7ifpt16t5Y1N
Diamond Girl,Nice & Wild,spotify:track:3AAufodtnqwvGMzklCU7qd
The Genie,Patti Austin,spotify:track:2QMQLzAhkpYwRGX7gB8QYw
Livin' On A Prayer,Bon Jovi,spotify:track:2tyW1uBUnYMKAFEfKDKi9B
I Know There's Something Going On - Single Version,Frida,spotify:track:6VrrAgKOHvbDAdFNRn15qL
Family Man - Extended Vocal Remix; 2017 Remaster,Fleetwood Mac,spotify:track:1s8yXd6yKfMFOucJHg90aF
When Love Calls,Atlantic Starr,spotify:track:490n3MPr9AL7oiDXIJrIiB
Blind Hearts,Clan of Xymox,spotify:track:5utCPsh8fsISIMIcRMH0LD
Die With Your Boots On - 1998 Remastered Version,Iron Maiden,spotify:track:0tqbmqo5MfuZBb1zimbpbJ
Somebody,Brilliant,spotify:track:7pSifa59477qLOEfCyZPcL
Girl You Know It's True (Maxi Version) - Super Club Mix,Milli Vanilli,spotify:track:47fGEnnyxCNZfrPf8LXm7z
Town Called Malice,The Jam,spotify:track:0gdmDP6xy3ZV7JNoHWAN9k
Reachin (Latin Workout Mix),Phase II,spotify:track:6YpftBuhPwGzkdHPvGNeB4
(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,spotify:track:57J2znxukXsXzS3XPuZ1TG
I Touch Roses - Long Stemmed Version,Book Of Love,spotify:track:5jJUMfv9PvDGno73jOUAoJ
Kennedy,The Wedding Present,spotify:track:3TbyWUiz9pqk9ZDF5uUats
Elstree,The Buggles,spotify:track:5nvLGQApZ2ly9Ngn0BKbeW
Working on the Highway,Bruce Springsteen,spotify:track:1n16ZEz2uuWO1Dx01dVWua
Tennessee Whiskey,David Allan Coe,spotify:track:79K36XF7WlgTvP3JbW17UE
I Can't Stand It,The Velvet Underground,spotify:track:5x8RlaAAeJCJAnHGLmvi1L
That'll Be The Day - Decca Version,Buddy Holly,spotify:track:6w40zjwprgA1s99VUxvuMx
World Shut Your Mouth,Julian Cope,spotify:track:2GF0D3d6LKIsDnk8ufpBQa
Boy - Extended Mix Version,Book Of Love,spotify:track:1AfroDD2a8FRdkHfUFsC8m
She's Lost Control,Joy Division,spotify:track:0I5YIX3Hxr5JKvHWbUTGzo
Back In Stride,Maze,spotify:track:3G9vkLzT3S1FzikOXmisO2
There Goes My Baby,The Drifters,spotify:track:2s4B4fUlVIkE4ELgoupjXL
Punish Me With Kisses - Mike Hedges Mix,The Glove,spotify:track:4s9WacpJjzSMnDoqjBlXRG
The Honeythief - Galus Mix,Hipsway,spotify:track:0f6TqWXuKMQ3f2HAZs5kq8
Heaven Is Waiting,The Danse Society,spotify:track:6l6LfotaUCEftiRJW4Yeij
Catch Me,Eyeless In Gaza,spotify:track:1gKpOxHx9odt6e3pYlbObC
Voyeur,Kim Carnes,spotify:track:7iuznl4Z4gOLGVdI4WvwqH
Losing My Mind,Liza Minnelli,spotify:track:2loMPlz3JWjFGF6fPoiSoo
Down Under,Men At Work,spotify:track:3ZZq9396zv8pcn5GYVhxUi
Another Satellite - Remastered 2001,XTC,spotify:track:5VJGzFLIRyHrDj46lYLuMM
Method of Modern Love - Extended Mix,Daryl Hall & John Oates,spotify:track:4lFlqKHE3RayTbP8gKqDuk
All Day And All Of The Night,The Kinks,spotify:track:4tBfvjJiaCDOuh4ZuFtlzx
Self! - Selfish Mix,Fuzzbox,spotify:track:5fUFO6ktBzhZS4AZFoyyu3
You're the Only Woman - You & I,Ambrosia,spotify:track:11qmuUlW5q5diLiVSOlsSF
99 Red Balloons,Nena,spotify:track:5mYtpXrZZ1bbGJYDGC8I0Y
Pour Some Sugar On Me - Extended Version,Def Leppard,spotify:track:3ZSkDwJzPELKzMF01COsuY
Sirius,The Alan Parsons Project,spotify:track:4OV0sRTFrZLXaZZ1sS9hLn
You Keep Me Hangin On,Kim Wilde,spotify:track:1wEeNtO7z41aUqC80shxqK
Green Grow The Rushes,R.E.M.,spotify:track:7EoJ6jHG1ndNHRiWOX3dex
Let's Get Brutal - Brutal House,Nitro Deluxe,spotify:track:5mOn7oJdEBmG43elhWGfXo
Five Minutes of Funk,Whodini,spotify:track:47ZmGnh3ydxAlR3lHhzPuK
Century's End,Donald Fagen,spotify:track:4NuZlTuOceFzSJiPkTeiq5
Limelight,Rush,spotify:track:0rt4JtP7UgKdiUor9Ppir4
To Tame A Land - 1998 Remastered Version,Iron Maiden,spotify:track:5hXoRKWLdnUjNZfLSU5GUP
Too High to Get It Right,Accept,spotify:track:0rDhrV26w2t2pwB68sE8J7
Freak-a-Zoid - Extended Remix,Midnight Star,spotify:track:4ImoyNleqR0kpqJlMHoP09
Lucille,Little Richard,spotify:track:49E8SDVZ7BUyNAZZYfZdRx
Two Tribes,Frankie Goes To Hollywood,spotify:track:2KWQhZHxEjJQN4FgAyNGUn
Take It On the Run,REO Speedwagon,spotify:track:5gys5nzVQIYhgHIfiOJYva
Bring on the Funkateers,Modern Romance,spotify:track:0yZAQv2HJgoF44rnwQpFYI
Head On,The Jesus and Mary Chain,spotify:track:0XK3azZuLvHjHG3aHDAfHB
Burn in Hell,Twisted Sister,spotify:track:1aVChMRP6I3ViAIlnW3WYS
Aeiou Sometimes Y,EBN/OZN,spotify:track:0mTQ85R6UL083YsFG8uJNR
Ma Foom Bey - Love Chant Version,Cultural Vibe,spotify:track:2OaZqGUkuIVzzc8C3NRu2z
Cold Imagination - 2007 Digital Remaster,Howard Devoto,spotify:track:2AVaQcoBwGObHiaz0rFFMB
Clay,Echo & the Bunnymen,spotify:track:6nSmaZlqlwJjgCtJbsVdhE
Deep Water,Strawberry Switchblade,spotify:track:7knV3ojCkjRUZi3x29p1Cx
Counterfiet Woman,The Only Ones,spotify:track:5iKHs6crdy43HfOSkWEtk4
They're Blind,The Replacements,spotify:track:3M0zlqqmDDldmQKNOneNDz
A Family Affair,Television Personalities,spotify:track:28LkWR7gzwYF4p62L8mq3P
My Turn to Love You,Lenny White,spotify:track:4TXxR8KzJopAwltElR7VoP
...And Justice For All,Metallica,spotify:track:2VIk1zgNk6aRiIQ9C1T4Yu
I Feel Love,Bronski Beat,spotify:track:1AQz0mZ1MRg1oRtwnOmCXV
Dyin' to Be Dancin' - Remix,Empress,spotify:track:2BLmQ4zSVyQBlQ9TdjPKKN
I Touch Roses,Book Of Love,spotify:track:54KZBYmE7MUlwxM2bUzSVY
The Glamorous Life - Club Edit,Sheila E.,spotify:track:4Jq5ea6oLv2WxP8QzvY2RT
Family Man - I'm a Jazz Man Dub; 2017 Remaster,Fleetwood Mac,spotify:track:5lQdo6BooBD52q216R1Khs
Jeopardy,The Greg Kihn Band,spotify:track:7LmDmvqagpX0PKxveGtZTa
The Conjuring - Remastered 2011,Megadeth,spotify:track:3QLwYL9Qwu8zlvuhR1HjMH
Radio Ga Ga - 2011 Mix,Queen,spotify:track:1HmzAZUvhQLhLo2z3ocpZI
"Bizarre Love Triangle - Shep Pettibone 12"" Remix",New Order,spotify:track:7y5fzeYh5bLrlJRB1OZrln
Witness The Change/I Don't Know What Love Is,Pete Shelley,spotify:track:5r8P5lCmRjaASoRXKelaVr
Hold On Loosely,38 Special,spotify:track:2eEmzSR9tmd52w7cqT9yK6
Swampland,Scientists,spotify:track:3tlbyvsPF0cXWMyWdSEQDf
Im Nin' Alu - Razormaid Remix,Ofra Haza,spotify:track:3LST7IRE9VSGDmoMzh3Kk2
Another One Bites The Dust - Remastered 2011,Queen,spotify:track:57JVGBtBLCfHw2muk5416J
The Evil That Men Do - 1998 Remaster,Iron Maiden,spotify:track:2FkxsINVws3o8Ox4fSvc3N
