Bed & Breakfast,Murray Head,spotify:track:2EezZrct9l2dp1Jj6SGE2D
Angel from Montgomery,John Prine,spotify:track:2qWKpYIleSvBT6aUMXoia5
Feeling tense,Stefano Torossi,spotify:track:6yJ64ERRCMNzHqNlVzpEpC
Changin' Times,Nazareth,spotify:track:4rSGF0bhnvhlqrnopPxiK1
Broken Dreams,Angel,spotify:track:72hHNhWeR1QsI4I5LBMg9D
Turn to Stone,Electric Light Orchestra,spotify:track:2rbsEUWhJoC1fwTFihoOWI
Thousand Watt Work-Out,John Moran,spotify:track:7dR2NwYNiVLjjHE4HV2sCA
Stagnant Pool - Remastered,Leaf Hound,spotify:track:4DdG3UgR6233ffrwughgAt
We Gotta Get You a Woman - 2015 Remaster,Todd Rundgren,spotify:track:4I8ItX9JAA8ROVQesGscAw
I Heard That,Eddie Russ,spotify:track:7BVVE2dpREAnuAKhozvxzM
Let's Go,The Cars,spotify:track:43G3McVkRa8V7oGQzfQuRr
Definitive Gaze,Magazine,spotify:track:4evPXNJG9VB8gJgT5rTAB8
Woman Mine,The Storm,spotify:track:0KpOdLnBYH9zOGLl5WdF9y
Perfect Day,Lou Reed,spotify:track:4TOMI010Sd4ZAX4aZ5TS85
Samhold,HÃ¸st,spotify:track:3drxZmBqYvo4dUs5uQFpXN
I Remember I Made You Crazy,The Headhunters,spotify:track:0AWnxpgFmXsojy9opiH0WN
Could It Be I'm Falling in Love,The Spinners,spotify:track:5i0urffBRKl09GSX2Jhdeh
Es War Einmal,Cluster,spotify:track:2IkZ9L5PHzae2YRIMqsL4D
Elevation,Television,spotify:track:1pimWzwUERYZbAFr5tL0Xl
Do The Boob,The Real Kids,spotify:track:7vnPL3qlHtFbg2OKFl4ktM
Fairy Tale Song (Cade),Milton Nascimento,spotify:track:17VK1QBQtM3uwZem3t0iSO
Nursery Rhymes,People's Choice,spotify:track:72rnFPvzyZ8W37RB8Qys9H
(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,spotify:track:0JX84Ylol2NjRGXKPnmxJD
Rainmaker,The Partridge Family,spotify:track:7EuJDgduC8A3IGEnhlAOxx
It's the New Thing,The Fall,spotify:track:5aKgvyuK6F8FQIkHBrC6tE
God Save The Queen,Sex Pistols,spotify:track:2mHchPRtQWet3iIS3jANr1
Spanish Eyes,Elvis Presley,spotify:track:5ZKZ4wJsIRBCnVJAMXDJ94
Pumped Up,Sir Lord Baltimore,spotify:track:0AaqxrmwXK8MWpWm0DB0TO
Three More Days,The Guess Who,spotify:track:4eNxWeqFpWFyjrIOoMrx9q
Casey Jones - 2013 Remaster,Grateful Dead,spotify:track:7LbfuQVct78YoghmoPtsQ8
I Cannot Understand,Ginhouse,spotify:track:6pg76rm4XVTCPBpcrSIkxF
Golden Time Of Day - Remastered,Maze,spotify:track:0epdaOT9HBO8Mm7ykRuFpT
"Tighter, Tighter",Alive 'N Kickin',spotify:track:5OXATqrGVPG49BjEIY6yyM
It's Only Money,Thin Lizzy,spotify:track:51PL1ACfxtpfHtkm7XprSc
It'll All Come Around,Patsy Gallant,spotify:track:1rVP30BW6y7uA8iJrp7wl1
Wild World,Yusuf / Cat Stevens,spotify:track:4d8862FZhgJVYxi8lshGY0
Fishes and Scorpions,Stephen Stills,spotify:track:0aj3AkOk9zn7OiNXcquUDd
52 Girls,The B-52's,spotify:track:1b7tSycCY4aIgojKBqKWdf
Chained,Three Dog Night,spotify:track:35FM08UdNh1BFwKf9aLxDo
Algo Flota en la Laguna,Pescado Rabioso,spotify:track:3SZQGAqOwIowwLL6TfybII
Make It with You,Bread,spotify:track:11gfsr13S8qsfN48IILcHU
Soul,S.O.U.L.,spotify:track:0C82rWJu4q1aMo1K4v9SD4
Killing Yourself to Live,Black Sabbath,spotify:track:4d44SGZ7sekFrOaih6WOBs
Overkill,MotÃ¶rhead,spotify:track:1Krtfh550kyhfWPcRp6SnD
Highway (Killing Me) - 2016 Remaster,Foghat,spotify:track:26lMoZvdVmBdAribSN7RLL
Please Set Me At Ease,Bobbi Humphrey,spotify:track:5emxS2ghZWuPnRFOe10vdq
One of Those Days in England,Roy Harper,spotify:track:4BiJWeKLL5lGto3sTaJCTL
Shoot Out At The Fantasy Factory,Traffic,spotify:track:4K4OfAXrewIwK8d9AFwF7O
Green-Eyed Lady,Sugarloaf,spotify:track:7hSUu4sYIGTcWp6ZjqSjFo
LÃ¥ngt FrÃ¥n Sergel,November,spotify:track:0lhwzbaib2sY4FjgMcPb2Z
Sunday Papers,Joe Jackson,spotify:track:5MRt5JfLp42Nvj5Gg2ZRwO
A Hard Road - 2014 Remaster,Black Sabbath,spotify:track:61aRWFPRj1XqrfcTJXqTuq
Often Shadows Felt,Dust,spotify:track:37rYfXvWwyx7AbizyDRm3b
The Boxer,Simon & Garfunkel,spotify:track:76TZCvJ8GitQ2FA1q5dKu0
Forge Your Own Chains,D.R. Hooker,spotify:track:7qcoyOftjwHabI9Z3VigKB
Green River,Creedence Clearwater Revival,spotify:track:0mRLlcbMVGMjT5Pca8uMzl
Molina,Creedence Clearwater Revival,spotify:track:1gV30AEN0Txi9RaplgTpfQ
Power of Gold,Dan Fogelberg,spotify:track:2zDboqf8wPq2nsYDodBwcR
Tough Luck,Fingerprintz,spotify:track:5hB9OLGCDWf8P5Rk0vVKDt
Beautiful Scarlet,Capability Brown,spotify:track:6Es5AM2wDIObxChh6075YO
"Go, I'm Never Gonna Let You (Part 1) Including (""Go, I'm Never Gonna Let You"" / Pt. 2)",Skid Row,spotify:track:0g6XeSxHcKN5Re3A7VovYB
Shout It Out Loud,KISS,spotify:track:4WpCUxvZhpWQynzvIAXmtR
Dr. Octopus (Part 2),Crack The Sky,spotify:track:2kIPHF2QP3wkkLghPmahxt
Shakedown Street - 2013 Remaster,Grateful Dead,spotify:track:1lNRVjK8MukRZpeurYssIx
Juniorâs Farm - Remastered 2014,Wings,spotify:track:5DL9fBmlM0r0nrlLIKwTrc
"Disco Inferno - LP / 12"" Version",The Trammps,spotify:track:5jUA1njy3h6ynHLvPdEVHt
Durazno Sangrando,Invisible,spotify:track:6pjbkrGImw09Nv5Ji3emkr
Vivir AsÃ­ Es Morir de Amor,Camilo Sesto,spotify:track:3yzHIAzk3zVE1WgspS8W21
Why Don't You Let Me Try,Wicked Lady,spotify:track:3VDvC0wF8yMn0nyqnWLpE6
Beyond the Realms of Death,Judas Priest,spotify:track:3Rtv6zRNKpeSygXoaF9kCm
It Only Takes A Minute,Tavares,spotify:track:7L24ueXfFCegIfpxmRLbmM
Este Madrid,LeÃ±o,spotify:track:4xov07mNpKLBmpcghArTeZ
Listen To What The Man Said - Remastered 2014,Wings,spotify:track:26q2FdGu71XhOlpJoXtfjx
Let There Be Rock,AC/DC,spotify:track:753KutoAy00apPsplMRetG
Proud Mary,Creedence Clearwater Revival,spotify:track:031rVKYjBhsaVM8o1i1vK0
Up On The Roof,James Taylor,spotify:track:2mFTBNC08f6Jfre31ynXlw
Black Juju,Alice Cooper,spotify:track:3JBatYR56CT1X5G5SHBKvI
Do You Love What You Feel,Rufus & Chaka Khan,spotify:track:7fYozX6MaNmfHoGW7bFTdK
Uncle Salty,Aerosmith,spotify:track:3XW2c507flCMzqd7Woc2mr
Brand New Me,Dusty Springfield,spotify:track:0w3AAvT5RNrwFCx9mItvIW
Lonely Night (Angel Face),Captain & Tennille,spotify:track:0qgsctXeEVnUwgGESn3vW4
Midnight Rider,The Allman Brothers Band,spotify:track:7J4WbEdRTZGJDsSr5AACCw
Dirty Women - 2014 Remaster,Black Sabbath,spotify:track:6QnbMXuQ25eK0jnB6AI0Cn
Leavin',Primevil,spotify:track:194qmGnbNe2OMarhfJSpSU
Jericho,Stray,spotify:track:0tiJUABr1gRC15ZNpsySPn
Prayin' to Satan,Tomorrow's Gift,spotify:track:0PiWod0DuHydP1vQqrAHd7
Runnin' With The Devil,Van Halen,spotify:track:3gLlcZQMvpwgtV9THHXrGp
Cause We've Ended as Lovers,Jeff Beck,spotify:track:4zoQ3EqopTIGmK2c2rPV5t
Tight Times,Jimmy McGriff,spotify:track:0panDGHK8JG7Amo8J630Bw
Wheel in the Sky,Journey,spotify:track:215wUTQQUo2PElJFEFoB0d
Art Decade - 2017 Remaster,David Bowie,spotify:track:1TfzSwueVDW3b1xTJ46O26
"The Grand Duel (Part X) (From ""Il Grande Duello / The Grand Duel"")",Luis Bacalov,spotify:track:5cUaR8EDQlLEtu1p9EJg7J
I Saw the Light,Todd Rundgren,spotify:track:0B1zVsLqmV9ibIFdNS5tGs
Sweet Thing,Rufus,spotify:track:0bqZnsPz4klg5TuWGcKb34
Maggie May,Rod Stewart,spotify:track:6c20LH3R4foocWLmYyojWq
Ride Me High,J.J. Cale,spotify:track:2OnTluP3yNVsFXTkbuQ8VH
Children of the Grave,Black Sabbath,spotify:track:00iV838pAEznn1qLoG8Rxy
Les Fleurs,Minnie Riperton,spotify:track:4XCGfHpGVq8xw800o5cwWs
Deuce,KISS,spotify:track:5sFT3c6E6dF7cRmbTRGEjr
Baby's On Fire - 2004 Digital Remaster,Brian Eno,spotify:track:2PV9sorI2h94qEPke7SlGI
Baba O'Riley,The Who,spotify:track:3qiyyUfYe7CRYLucrPmulD
Merry Go Round,The Equatics,spotify:track:4X4NrHp5VpibgirzuImxXd
Morning Way,Trader Horne,spotify:track:7b7fIP2oihfoa4vHiqc4dQ
Tell the Truth,Wicked Lady,spotify:track:4R6p1JNDJqTzMKXlIzIBJU
L.A. Woman,The Doors,spotify:track:6DmfWj5kOa1fX8AwN9byOn
Love Is Worth the Blues,"West, Bruce & Laing",spotify:track:1GWP74lwMjwd3HWXShVvZn
I'm Coming On,Buffalo,spotify:track:1Sdo1K0YUrlmuFa3vY72H2
Pasado,Pockets ,spotify:track:0L5hrt6LlsXuY48D5ITQw4
"Crazy Arms, Crazy Eyes",Brave Belt,spotify:track:2AbStv2LkKJYLOf4cVU9fW
Revolution Blues - 2016 Remaster,Neil Young,spotify:track:6LRdLK9wkLVuygeBe1kAZY
Lover And Friend,Minnie Riperton,spotify:track:49bnFIIpvcuKuVmpkxnQfN
Master Of The Universe,Hawkwind,spotify:track:2fdaFizYQhu2D3jtxCjt2V
Automne - Colchiques,Cortex,spotify:track:5Rt5pomA6CvKTuCllwRY74
When the Spirit Moves You,Touch,spotify:track:488C7PTUuf0az8X65NPSr9
Bad Talkin' Lady,Left End,spotify:track:6sisz3DTqx1sb6vORzsrAu
Minus-Plus,Smith,spotify:track:0yd4m5vmOYH9V7BAMA3Eai
Rien Ne Va Plus,Funk Factory - Michael Urbaniak,spotify:track:7EsnZSIx0pUN5786tI7raq
Fools Fall In Love,Elvis Presley,spotify:track:39G08yFbImZWxrfdvHuhW1
Sombra de la Noche Negra,Pescado Rabioso,spotify:track:2LiNwV40eYglytoyRxJwv8
One Way...Or Another,Cactus,spotify:track:57Z2TxYHrlcVNMmR6L6ygG
John's Groove,Cleveland Eaton,spotify:track:5lH0ejyPMxk0JtqBT2VsWR
Hard Time,Rare Bird,spotify:track:2qJE6UOLZQKwFZ9vMcBL1O
Ain't Talkin' 'Bout Love - 2015 Remaster,Van Halen,spotify:track:6fybp4N6eW3bsFAvARxyVe
Gamma Ray,Birth Control,spotify:track:6v5q2aqviBnYfFppVhg3Nv
Now That We Found Love,The O'Jays,spotify:track:1Epi7F7o1i0JRG49swvUWJ
Don't Stop For Nothing,The 5th Dimension,spotify:track:2iy3XgzJWQTiPx8KNVUnss
Deception,Curly Curve,spotify:track:295RlUug7bbH93eOlDvFLV
Can't Keep It In,Yusuf / Cat Stevens,spotify:track:18UUFI8DR8scvYb6FHjwp6
Love For Living,Edward Vesala,spotify:track:3IvgN73m0XXBbYnUTCbYwK
Hocus Pocus - Extended Version,Focus,spotify:track:6iZtDWu3FTuxu7AprIqA3Y
The Trip,Bobbi Humphrey,spotify:track:7vmcxRnWa5xSimLHbUXhcZ
Pauv' muezzin,Le SystÃ¨me Crapoutchik,spotify:track:7bg7yoe7abgdhYsFAmJfsf
Listen to the Music,The Doobie Brothers,spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5
3 Time Loser,David Allan Coe,spotify:track:0MRTGDKJjjkRRaSewBfEas
Hot Rod Lincoln,Commander Cody and His Lost Planet Airmen,spotify:track:53Uge4bp2SiCXZLuhDJYLB
Symptom of the Universe,Black Sabbath,spotify:track:7vE1qmmpaWt6Z5caFGBObe
Sweet Dream Woman,Waylon Jennings,spotify:track:0zRWHRX4aX9nn1hYdsc7Ry
"Kind of Life (Kind of Love) - Original 12"" Vocal",North End,spotify:track:6OhGPTvYP93TQVkNbA8yPa
Gimme Danger - Bowie Mix,The Stooges,spotify:track:74CcP6fDBFdH8Xjo2F6Nb4
Christine Sixteen,KISS,spotify:track:5CDjsfoaBs7pTi97rUcNnf
Nobody Loves You (When You're Down And Out) - Remastered 2010,John Lennon,spotify:track:3Vt5QenAYmdNnDCp0DbsWM
The Author - 2013 Remaster,Budgie,spotify:track:5PN8fhYCkYwzY6KlaMS6O7
Utilisation,DÃ¼de DÃ¼rst,spotify:track:1s6xRPRNbQEJ1ZHaNU7tgf
Mustapha - Remastered 2011,Queen,spotify:track:3uaVLkgDqlYy153yFBUVtl
Time Will Be Your Doctor,Fuzzy Duck,spotify:track:6RjCZccSQXr7shEkN11YDu
Death of Romance,The Walker Brothers,spotify:track:100PymWtT8cwWOFqyTDdLM
Make Me Smile - 2002 Remaster,Chicago,spotify:track:1fgQSrUXq0GJbvZuMXZ9bN
Reasons,Minnie Riperton,spotify:track:0VnqMPwExHC99eRjfz6VRJ
Get into the Party Life,Little Beaver,spotify:track:3rZrK0m6FsVwNBS0SFpivX
Here Comes the Sun,Eugene Record,spotify:track:0wekx1eMyoTIIRce6iE3tf
Say You Love Me - 2017 Remaster,Fleetwood Mac,spotify:track:4xmxQlwx8KMBK56zIn0Y8B
Die,Lincoln Street Exit,spotify:track:0HaqzJScohTcQTtOsXnFnv
Power of Soul,Idris Muhammad,spotify:track:5YnyA2XqNiD0Rcrma0R0IU
Hammerhead,Rare Bird,spotify:track:695i7z7SG2VtXx8HhPjpAW
Forget Me Not,Roy Harper,spotify:track:1CUrm4mTxiTKxuLC4Hjw4m
Jump Thru The Golden Ring,Poobah,spotify:track:0tLHEVacnK4muTNUL4nRCo
Bottled - 2013 Remaster,Budgie,spotify:track:7wgUZkZJYwTuZrK2CE8SY1
Under My Thumb,The Rolling Stones,spotify:track:3BpF6yucdm834NmJGJYZPB
Hallogallo,NEU!,spotify:track:5ten0WtejUB4F0lGVFStyE
Take Some Time Out,The Salsoul Orchestra,spotify:track:6kGY3OCaMQyIDj1UvaWwhT
Ram On - 2012 Remaster,Paul McCartney,spotify:track:3lqXAOFVwDSJDLTNZq6MU6
Kicks,Lou Reed,spotify:track:1oD6UVuuUJ6CSQhdjcHHED
The Red Rooster,Howlin' Wolf,spotify:track:3zZXYIdKiq0hjMWQ3oYMdC
Too Bad - Full Version,Bad Company,spotify:track:54xTvkwKlqwk3BewigCuft
Dancing In the Moonlight - Original Recording,King Harvest,spotify:track:7ufDF5ePKsnxYgP0DAZoZE
Move Over - Alternate Version,Janis Joplin,spotify:track:6NgV2dH50o1HIoEwxHRu3X
The Worst Band In The World,10cc,spotify:track:2QuhQtkWjIgUnD0osMVxmQ
Going Through the Motions of Love,Gene Cotton,spotify:track:0U9aVqusFYJxIbqjePsfH3
AndanÃ§a,Beth Carvalho,spotify:track:2XCF9zbOTpv4VfuQxahluA
It's About Time - Remastered 2009,The Beach Boys,spotify:track:1P1fdXPlrnznMLWJ0XaGDe
LlorarÃ¡s,Los Terricolas,spotify:track:2avnbTB2bVyKI2nz553XuH
Ride Like the Wind,Christopher Cross,spotify:track:7gUMShP1l20tC0xf17Zplk
Light My Fire - 1994 Remaster,Shirley Bassey,spotify:track:2RxYGOHMSm6nc9q9xyLtYq
Tulsa Telephone Book,Tom T. Hall,spotify:track:3FPcamkboWfZ7LPGbBgCAc
Aquarius / Let the Sunshine In - Remastered,The 5th Dimension,spotify:track:3wu9uLjDQnqNiNPh7AxcDM
Exodus,Bob Marley & The Wailers,spotify:track:5nDPGDOqmAeSV4hXQsAU01
Warriors,Thin Lizzy,spotify:track:2vMBRpkDd8TbxY01tO9v2c
Bel Air,CAN,spotify:track:5JZNaNGQR40MCunvOBPvlb
Poor Boy - Single Version,Chicken Shack,spotify:track:6j7zhrI8sENzZ5gfL3sQOk
"Bye, Bye Baby",Big Brother & The Holding Company,spotify:track:3SXwnE2Xotf6v098Z21O0b
Mestizo Eyes,Bobbi Humphrey,spotify:track:0cw5HjFogDUAoqtkqvURLS
Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees,spotify:track:5cP52DlDN9yryuZVQDg3iq
Here Is Where Your Love Belongs,Jaye P. Morgan,spotify:track:7htbqrfAEFAjyEESNkPKiQ
Have The Whack It Up,East Of Eden,spotify:track:1ENs60P8TRA3h794JXYvkf
Baby Cake Walk,Guru Guru,spotify:track:7I2JLzLowxONGomMjZYHIV
Rockin Round The World,Country Joe & The Fish,spotify:track:4zjE0Vt70Q4vUnedUlIWVo
"Half Moon - Live at CNE Stadium, Toronto, Canada - June 1970",Janis Joplin,spotify:track:1J24nN1HXV1vYeRvDdYvW3
Chuck E's in Love - 45 Version,Rickie Lee Jones,spotify:track:3F1MiFu5a1Y3Z9dQZhLTAo
(If I Could Climb) The Walls of the Bottle,David Allan Coe,spotify:track:29mXFLxchnrdvlCA1QrcfT
My Heroes Have Always Been Cowboys,Waylon Jennings,spotify:track:5LIcZRMYQM2ZNo4WOZOSKB
Krautrock,Faust,spotify:track:7h9hsEOJbNH2Y46ZR5NFfQ
Fanny [Be Tender With My Love],Bee Gees,spotify:track:6e0PIveNnKphZxYABi0qFa
I'm So Green,CAN,spotify:track:7otf12LkWCB2mTZhZvMHTb
Lust For Life,Iggy Pop,spotify:track:3IRvvlj2KpYoH76mLacnsp
Xibaba,Donald Byrd,spotify:track:2sp4lzbk4TL2RZ6EUPCMql
Dancing In The Moonlight (It's Caught Me In It's Spotlight),Thin Lizzy,spotify:track:6BmzbaB08O0FjHXeS0cR5b
Hoochie Coochie Man,Stack Waddy,spotify:track:2Sq5f9aIrwvR7fA6LQCJca
Baby Strange,T. Rex,spotify:track:7rpW9vanJhOhe55YkquixZ
Down On The Corner,Creedence Clearwater Revival,spotify:track:4IiRAL0swv6SGt92wsFXlG
Tonight the Bottle Let Me Down,Waylon Jennings,spotify:track:5rF7hPs1SWWZZqmegjVVFL
"Sookie Sookie - Live At The Cliche' Lounge, Newark, New Jersey, 1970 / Remastered 2000",Grant Green,spotify:track:6i9Uhx8fUHQu9aHXCjiu7B
Black Cards,Out Of Focus,spotify:track:2LGaJOqYeBMCnwDtdrELQs
Just Wanna Rock & Roll,38 Special,spotify:track:6ZGutI084kykhlyqMSHDCP
Golden Years - 2016 Remaster,David Bowie,spotify:track:4JRem7xHp2l0kmUvt9zCKu
Have You Ever Seen The Rain,Creedence Clearwater Revival,spotify:track:2LawezPeJhN4AWuSB0GtAU
Emerald,Thin Lizzy,spotify:track:6MfmVIKRgQB3qaW0X9gYfx
Sing Swan Song - 2004 Remastered Version,CAN,spotify:track:38jqyFghcqZbGubCgOvCkJ
Just I Was Born,Blues Creation,spotify:track:0MTZnB4QRvqt52HtbUA2xz
Take Her Under,Kin Ping Meh,spotify:track:6uWURBy6PnF5y0iqpbFtm6
Goodbye Stranger - 2010 Remastered,Supertramp,spotify:track:67oyFnjJnn78fZP9KjeZx0
Beso a beso... dulcemente,Paloma San Basilio,spotify:track:5jY16zDOTWeHKArHy5Rjw3
Maybe Tomorrow,Luv Machine,spotify:track:6nAXDA55aRXxanTBeDKbTG
Rock My Soul,Tiger B. Smith,spotify:track:2YTRkUMZ48Fp0nxJ4UczIm
Time In A Bottle,Jim Croce,spotify:track:12PlslqAWQUtiLoObNaj8a
Auntie Aviator,John & Beverley Martyn,spotify:track:16OBygb9VOkiCTmiI2xhUp
Movin' Out (Anthony's Song),Billy Joel,spotify:track:4cG3ovmC8Hnp9ZsmSZI2O4
I Loved 'Em Every One,T.G. Sheppard,spotify:track:4td6tN1J2QlESZyUhlD77m
Halo of Flies,Alice Cooper,spotify:track:26uVP8g7Uijo0zuN22De3x
Future Games,Fleetwood Mac,spotify:track:021JldNpXGATNSC69edcBT
Understanding,Jeronimo,spotify:track:6fKLc1Oop7SW4jaUDyJubJ
Mara,Country Joe & The Fish,spotify:track:78Mjx8Jf2p11XJ4YyD2yRd
Whole Lotta Rosie,AC/DC,spotify:track:4wYq5wugZDzQiMZQYG4wVB
Oh Man,Frank Diez,spotify:track:7JFA75j5OSomQjZ7wxtFyx
Hot Fun in the Summertime,Sly & The Family Stone,spotify:track:4t6NQkpUmvpvLDCkl3XuwA
Prove It,Television,spotify:track:3aPjLBWsrqTetCn3QcLSuK
Poptones,Public Image Ltd.,spotify:track:1uRvmjiSbjbENK4Dn6ZXRo
Blowin' In The Wind,Joan Baez,spotify:track:2EQHRPX0djuCdJx6XYh0OW
"Whenever I Call You ""Friend"" (feat. Stevie Nicks)",Kenny Loggins,spotify:track:5NCY3uTCovd93aqwbodUhm
My Baby - Alternate Version,Janis Joplin,spotify:track:4sgXUklhAidGPHyozoinDE
Dedicada a ela,Arthur Verocai,spotify:track:0eVnhQNFTRZXOIhHZNLX85
"Me & My Uncle - Live at Fillmore East, New York, NY, April 29, 1971",Grateful Dead,spotify:track:5PVOldMP41Vcex0WwO3GTc
Tell Me a Bedtime Story (with Herbie Hancock),Kimiko Kasai,spotify:track:7Dt4ZDaY6hhFUBwREHXVHS
The Weight,The Band,spotify:track:2UgZeV435iztRTLrUeOrtk
Chained,Argent,spotify:track:0vl3pGrdlTbboHoC0LNlDa
Tan Solo Estas Recordandome,Vox Dei,spotify:track:54HlOUqACeyYQ1h1cCKwvf
Set Me Free,Karen Silver,spotify:track:6vC4paKQsT5OM7yPel0fpL
"Split, Pt. 4 - 2003 Remastered Version",The Groundhogs,spotify:track:7rNyq1zlr677ZrrH8Z4jmW
Aja,Steely Dan,spotify:track:51AIqs0TqA4TI552nerCqa
Mamma Mia,ABBA,spotify:track:5ztQHTm1YQqcTkQmgDEU4n
Gettin' By,Jerry Jeff Walker,spotify:track:6gImS6q8vKesgIwy8zxGdu
Le Freak,CHIC,spotify:track:28NBmftocOzTPEb6OYA9fW
Searching,Roy Ayers,spotify:track:45muf22QzSyKwsF4l3IcwJ
Mina FotspÃ¥r Fylls Av Vatten - Alternative,November,spotify:track:1aFQhK42PBeh3Kcvq7A5Ip
Several Yards (Foxtrot),Stack Waddy,spotify:track:7AEg7pnQrVW8ebItSaqwwd
Take The Money And Run,Steve Miller Band,spotify:track:1ZhrREyOOeFV6TxDOyiPwu
We're An American Band - Remastered 2002,Grand Funk Railroad,spotify:track:3XcjIvaZVUFAIdIYZqY9bd
Goodbye Yellow Brick Road - Remastered 2014,Elton John,spotify:track:3MkRwulgSUiTr8D6nqrxfr
The Wurlitzer Prize (I Don't Want to Get over You) - Remastered,Waylon Jennings,spotify:track:44L5MoIMIReAd35zotAGkP
Wine Do Yer Stuff,Commander Cody and His Lost Planet Airmen,spotify:track:0VGVoWJPbsqSjZGiKPWbDz
Night Owl,Gerry Rafferty,spotify:track:3cFHJH4FtTAlvDRu4zcRQU
"Maybe - Live at Winnipeg Stadium, Winnipeg, Canada - July 1970",Janis Joplin,spotify:track:0K9YmK12B9tU2dfq0wrKPV
As,Stevie Wonder,spotify:track:3xrqE1ZGbvWHpsxnOPc8g4
S.O.S. (Too Bad),Aerosmith,spotify:track:02mweGWS7tgRTJa4sn8jI4
America - Single Mix,Simon & Garfunkel,spotify:track:5GmrXcVIMgLaaqKVxhi5kp
I Am the Mercury,Jimmie Spheeris,spotify:track:4CjvJf7KrH5nYY6zhPwkDq
The Beat,Elvis Costello & The Attractions,spotify:track:1MDN8WFF2lKuCTwgKY4Ubp
Adventures In Paradise,Minnie Riperton,spotify:track:56RJScHJonXRwzW1tiwFmj
Les Garde Volent Au Secours Du Roi,Jean-Claude Vannier,spotify:track:5zp9NBVNm34DF8cHfspE8Z
Gris y Amarillo,Pappo's Blues,spotify:track:461CPE3HWMPLbn5mVNRHZW
Angel Of The Highway,Zior,spotify:track:0ULC9J7otG8tUl0rityx69
I Saw the Light - 2015 Remaster,Todd Rundgren,spotify:track:5uRkew0DtfAQmv0oEYNwFF
That's How I Got To Memphis,Tom T. Hall,spotify:track:2cNTnf90oAqCGtLCssSSYe
London Calling - Remastered,The Clash,spotify:track:5jzma6gCzYtKB1DbEwFZKH
Bron-Y-Aur Stomp - Remaster,Led Zeppelin,spotify:track:1dK6cNOMYjEP3QGYOfwP6t
Halleluhwah,CAN,spotify:track:3DUoPXTDwsK71rQXiDkWRo
